Term                           TF-IDF                        
аратапа                        0.0114                        
смит                           0.0108                        
байрон                         0.009                         
мятежный                       0.0083                        
джилберт                       0.0065                        
химик                          0.0055                        
прыжок                         0.0054                        
артемида                       0.0049                        
хан                            0.0044                        
родий                          0.0041                        
уран                           0.0039                        
автарх                         0.0035                        
кукла                          0.0035                        
хлыст                          0.0033                        
ризетта                        0.0033                        
правитель                      0.0032                        
отверстие                      0.0031                        
рубка                          0.003                         
лингана                        0.0028                        
шварц                          0.0028                        
тигель                         0.0028                        
термостат                      0.0028                        
отец                           0.0027                        
хенрик                         0.0027                        
документ                       0.0025                        
офицер                         0.0023                        
спасти                         0.0023                        
тирания                        0.0021                        
критический                    0.0021                        
перевернуть                    0.002                         
переступить                    0.002                         
тираниец                       0.0019                        
металл                         0.0019                        
погон                          0.0018                        
охрана                         0.0018                        
указанный                      0.0018                        
штат                           0.0018                        
необработанный                 0.0018                        
тигль                          0.0018                        
расщепление                    0.0018                        
осень                          0.0018                        
мир                            0.0017                        
беспощадность                  0.0017                        
вновь                          0.0016                        
родийский                      0.0016                        
хенриадов                      0.0015                        
представитель                  0.0015                        
корабль                        0.0015                        
солдат                         0.0015                        
выстрелить                     0.0015                        
освободить                     0.0015                        
освобождение                   0.0015                        
поханга                        0.0015                        
арт                            0.0015                        
браунинг                       0.0015                        
атом                           0.0015                        
радиация                       0.0015                        
гвоздь                         0.0015                        
трава                          0.0015                        
дерево                         0.0015                        
пульт                          0.0014                        
нерешительность                0.0014                        
джоунтить                      0.0014                        
облучение                      0.0014                        
рация                          0.0013                        
отсек                          0.0013                        
вычислить                      0.0013                        
соединить                      0.0013                        
сон                            0.0013                        
оружие                         0.0012                        
компьютерный                   0.0012                        
существовать                   0.0012                        
координата                     0.0012                        
вождь                          0.0012                        
чикаго                         0.0012                        
лаборатория                    0.0012                        
спустя                         0.0012                        
лейтенант                      0.0011                        
пленник                        0.0011                        
сэр                            0.0011                        
сумасшедший                    0.0011                        
стенка                         0.0011                        
размышление                    0.001                         
подсечка                       0.001                         
выхватывать                    0.001                         
заливать                       0.001                         
джил                           0.001                         
арапат                         0.001                         
лейтенантский                  0.001                         
лэнси                          0.001                         
часы                           0.001                         
радиотранслятор                0.001                         
отослать                       0.001                         
пересчитать                    0.001                         
поумнеть                       0.001                         
отговаривать                   0.001                         
благосклонность                0.001                         
юношеский                      0.001                         
романтизм                      0.001                         
похороны                       0.001                         
армада                         0.001                         
персона                        0.001                         
астронавигатор                 0.001                         
подорвать                      0.001                         
декадентство                   0.001                         
нить                           0.001                         
пожениться                     0.001                         
отсмеяться                     0.001                         
подыскать                      0.001                         
амбиция                        0.001                         
тиранийский                    0.001                         
флагман                        0.001                         
помыть                         0.001                         
свихнуться                     0.001                         
родиец                         0.001                         
хенриаду                       0.001                         
дурачок                        0.001                         
лазутчик                       0.001                         
заменимый                      0.001                         
феодальный                     0.001                         
угнетение                      0.001                         
ханство                        0.001                         
нахальство                     0.001                         
установление                   0.001                         
джозеф                         0.001                         
бессистемный                   0.001                         
понемножку                     0.001                         
утеха                          0.001                         
разъярённый                    0.001                         
упование                       0.001                         
необузданный                   0.001                         
секунда                        0.001                         
полуоткрытый                   0.001                         
свечение                       0.001                         
бодрый                         0.001                         
наклонять                      0.001                         
мензурка                       0.001                         
оседать                        0.001                         
линейка                        0.001                         
расплавить                     0.001                         
бетонный                       0.001                         
электролиз                     0.001                         
плутоний                       0.001                         
облучать                       0.001                         
сквозной                       0.001                         
приглядываться                 0.001                         
именной                        0.001                         
дженингс                       0.001                         
кровяной                       0.001                         
тельце                         0.001                         
слабеть                        0.001                         
асфальт                        0.001                         
газон                          0.001                         
буйный                         0.001                         
неподстриженный                0.001                         
опадать                        0.001                         
июльский                       0.001                         
фрагмент                       0.001                         
срез                           0.001                         
утешение                       0.001                         
ущипнуть                       0.001                         
удлиниться                     0.001                         
юноша                          0.0009                        
шагнуть                        0.0009                        
пол                            0.0009                        
нога                           0.0009                        
спрятать                       0.0009                        
внезапно                       0.0009                        
производить                    0.0009                        
мальчик                        0.0009                        
полковник                      0.0009                        
жениться                       0.0009                        
оторвать                       0.0009                        
исчезновение                   0.0009                        
пот                            0.0009                        
одёрнуть                       0.0008                        
служба                         0.0008                        
решение                        0.0008                        
обратиться                     0.0008                        
повалить                       0.0008                        
валяться                       0.0008                        
инженерный                     0.0008                        
полчаса                        0.0008                        
кротко                         0.0008                        
дежурный                       0.0008                        
примчаться                     0.0008                        
сопротивление                  0.0008                        
взрывной                       0.0008                        
молодой                        0.0008                        
наделать                       0.0008                        
рапорт                         0.0008                        
табло                          0.0008                        
солгать                        0.0008                        
планета                        0.0008                        
базироваться                   0.0008                        
замок                          0.0008                        
стемнеть                       0.0008                        
разыскать                      0.0008                        
запросить                      0.0008                        
философия                      0.0008                        
сражаться                      0.0008                        
субъект                        0.0008                        
политически                    0.0008                        
освобождать                    0.0008                        
вряд                           0.0008                        
сослать                        0.0008                        
нефелос                        0.0008                        
укрепление                     0.0008                        
проводить                      0.0008                        
полпути                        0.0008                        
отпустить                      0.0008                        
брак                           0.0008                        
сопоставить                    0.0008                        
добираться                     0.0008                        
джила                          0.0008                        
прикидываться                  0.0008                        
надоумить                      0.0008                        
доверчивый                     0.0008                        
стан                           0.0008                        
веско                          0.0008                        
изумлённо                      0.0008                        
подозвать                      0.0008                        
подобраться                    0.0008                        
