Term                           TF-IDF                        
варенька                       0.0193                        
кумыс                          0.0066                        
васильич                       0.0052                        
п                              0.0048                        
тамарин                        0.0046                        
проститься                     0.0041                        
пван                           0.0033                        
фёдор                          0.0033                        
фёдорович                      0.0033                        
девица                         0.003                         
мавр                           0.0027                        
шафер                          0.0027                        
сергей                         0.0026                        
доктор                         0.0026                        
церковь                        0.0024                        
пмшина                         0.0023                        
отвечать                       0.0023                        
островский                     0.0023                        
прощаться                      0.0022                        
невеста                        0.0021                        
отчий                          0.0021                        
плач                           0.0021                        
сердце                         0.0021                        
петрович                       0.002                         
ехать                          0.0019                        
володя                         0.0019                        
пмшин                          0.0019                        
савишный                       0.0018                        
плакать                        0.0018                        
надобный                       0.0018                        
лечить                         0.0018                        
весёлый                        0.0017                        
поклониться                    0.0017                        
прощание                       0.0017                        
любовь                         0.0017                        
страшно                        0.0016                        
слеза                          0.0016                        
венок                          0.0016                        
грустить                       0.0016                        
покойник                       0.0016                        
весталка                       0.0016                        
порознь                        0.0016                        
тупой                          0.0016                        
микстура                       0.0016                        
сжатие                         0.0016                        
лодка                          0.0016                        
гребец                         0.0016                        
измученный                     0.0016                        
прописывать                    0.0016                        
застава                        0.0016                        
довольный                      0.0015                        
приехать                       0.0015                        
головка                        0.0015                        
бледный                        0.0015                        
грустный                       0.0015                        
нерв                           0.0015                        
больной                        0.0015                        
аккуратно                      0.0015                        
записка                        0.0014                        
жених                          0.0014                        
досадный                       0.0014                        
подать                         0.0014                        
любить                         0.0014                        
деревенский                    0.0014                        
равнодушный                    0.0014                        
ямка                           0.0014                        
решительно                     0.0014                        
прибавить                      0.0014                        
грусть                         0.0013                        
уезжать                        0.0013                        
дом                            0.0012                        
внутренний                     0.0012                        
свеча                          0.0012                        
счастие                        0.0012                        
бог                            0.0012                        
вода                           0.0012                        
муж                            0.0012                        
болеть                         0.0012                        
благодарить                    0.0011                        
заставлять                     0.0011                        
подруга                        0.0011                        
обозначиться                   0.0011                        
посматривать                   0.0011                        
боль                           0.0011                        
варенькин                      0.0011                        
мила                           0.0011                        
бокал                          0.0011                        
савишня                        0.001                         
уехать                         0.001                         
свадьба                        0.001                         
грустно                        0.001                         
сознаться                      0.001                         
нестерпимый                    0.001                         
благословить                   0.001                         
непонятный                     0.001                         
потрясать                      0.001                         
сердить                        0.001                         
пить                           0.001                         
здоровье                       0.001                         
простить                       0.001                         
влечь                          0.001                         
настраивать                    0.001                         
деревня                        0.001                         
шумно                          0.001                         
виноватый                      0.001                         
горе                           0.001                         
шампанское                     0.001                         
дух                            0.0009                        
мой                            0.0009                        
отдать                         0.0009                        
ковёр                          0.0009                        
заглядывать                    0.0009                        
розовый                        0.0009                        
свидетель                      0.0009                        
наденёк                        0.0009                        
почтенный                      0.0009                        
мило                           0.0009                        
болезненный                    0.0009                        
жёлчь                          0.0009                        
велеть                         0.0009                        
бывать                         0.0009                        
грациозный                     0.0009                        
самолюбие                      0.0009                        
след                           0.0009                        
смущение                       0.0009                        
прищуриться                    0.0009                        
лампа                          0.0009                        
восстановить                   0.0009                        
непременно                     0.0009                        
лечиться                       0.0009                        
пожелать                       0.0009                        
монастырь                      0.0008                        
помолиться                     0.0008                        
чудотворный                    0.0008                        
икона                          0.0008                        
пуститься                      0.0008                        
полгород                       0.0008                        
обязанность                    0.0008                        
распоряжаться                  0.0008                        
пир                            0.0008                        
похмелие                       0.0008                        
гостиная                       0.0008                        
разостлать                     0.0008                        
затворить                      0.0008                        
подшепнуть                     0.0008                        
внимательность                 0.0008                        
уста                           0.0008                        
волнение                       0.0008                        
свадебный                      0.0008                        
вуаль                          0.0008                        
падать                         0.0008                        
pycoй                          0.0008                        
невинность                     0.0008                        
выкатываться                   0.0008                        
село                           0.0008                        
мена                           0.0008                        
докрасна                       0.0008                        
натереть                       0.0008                        
растрогать                     0.0008                        
добродушие                     0.0008                        
неотчего                       0.0008                        
надоесть                       0.0008                        
отворотиться                   0.0008                        
сослуживец                     0.0008                        
благословлять                  0.0008                        
благословение                  0.0008                        
зарыдать                       0.0008                        
рыдать                         0.0008                        
болезненно                     0.0008                        
душа                           0.0008                        
заразительно                   0.0008                        
неосторожный                   0.0008                        
два                            0.0008                        
обжечь                         0.0008                        
иудин                          0.0008                        
птица                          0.0008                        
выпить                         0.0008                        
холод                          0.0008                        
прилить                        0.0008                        
кровинка                       0.0008                        
клирос                         0.0008                        
голубица                       0.0008                        
налой                          0.0008                        
пробежать                      0.0008                        
венчание                       0.0008                        
происшествие                   0.0008                        
обменять                       0.0008                        
обнимание                      0.0008                        
целование                      0.0008                        
навзрыд                        0.0008                        
сокрушаться                    0.0008                        
варвар                         0.0008                        
александрович                  0.0008                        
предусмотрительный             0.0008                        
обжиться                       0.0008                        
должностной                    0.0008                        
докучный                       0.0008                        
двусмысленный                  0.0008                        
угощение                       0.0008                        
пустеть                        0.0008                        
поплакать                      0.0008                        
распорядитель                  0.0008                        
подолее                        0.0008                        
грациозно                      0.0008                        
люд                            0.0008                        
горланить                      0.0008                        
двор                           0.0008                        
спаться                        0.0008                        
жениться                       0.0008                        
марал                          0.0008                        
вплоть                         0.0008                        
рукопись                       0.0008                        
клякса                         0.0008                        
разщепиться                    0.0008                        
выливать                       0.0008                        
вылить                         0.0008                        
склянка                        0.0008                        
пересилить                     0.0008                        
чувство                        0.0008                        
обнашивать                     0.0008                        
женатость                      0.0008                        
сшить                          0.0008                        
оскорбиться                    0.0008                        
выстрадать                     0.0008                        
характер                       0.0008                        
загадочность                   0.0008                        
залечить                       0.0008                        
подшёптывать                   0.0008                        
самонадеянно                   0.0008                        
притупить                      0.0008                        
цепной                         0.0008                        
всегдашний                     0.0008                        
избавлять                      0.0008                        
святочный                      0.0008                        
окаймить                       0.0008                        
причесать                      0.0008                        
созреть                        0.0008                        
зеркало                        0.0008                        
умильный                       0.0008                        
неутешительный                 0.0008                        
пьеса                          0.0008                        
истереться                     0.0008                        
износить                       0.0008                        
навесть                        0.0008                        
избегать                       0.0008                        
cобой                          0.0008                        
сумерки                        0.0008                        
полузатопить                   0.0008                        
мерный                         0.0008                        
мерно                          0.0008                        
воз                            0.0008                        
низ                            0.0008                        
загиб                          0.0008                        
облокотиться                   0.0008                        
забиться                       0.0008                        
вопросительно                  0.0008                        
неправда                       0.0008                        
великодушно                    0.0008                        
смешать                        0.0008                        
ребячески                      0.0008                        
утешиться                      0.0008                        
невозвратимый                  0.0008                        
ломота                         0.0008                        
позвоночный                    0.0008                        
напролёт                       0.0008                        
щупать                         0.0008                        
помешаться                     0.0008                        
советовать                     0.0008                        
нa                             0.0008                        
наведать                       0.0008                        
выгонять                       0.0008                        
оплакать                       0.0008                        
живительность                  0.0008                        
виноградный                    0.0008                        
выпивать                       0.0008                        
бутылочка                      0.0008                        
непозволительно                0.0008                        
заехать                        0.0008                        
помнится                       0.0008                        
жалко                          0.0008                        
оренбургский                   0.0008                        
омочить                        0.0008                        
разыгрывать                    0.0008                        
натурально                     0.0008                        
безэффектность                 0.0008                        
амалия                         0.0008                        
час                            0.0007                        
прогуливаться                  0.0007                        
незавидный                     0.0007                        
передвигать                    0.0007                        
скучный                        0.0007                        
толпа                          0.0007                        
усталый                        0.0007                        
принудить                      0.0007                        
сладенький                     0.0007                        
отстать                        0.0007                        
утерпеть                       0.0007                        
оплакивать                     0.0007                        
передовой                      0.0007                        
дёрнуть                        0.0007                        
скатерть                       0.0007                        
прощать                        0.0007                        
подавать                       0.0007                        
посажёный                      0.0007                        
холодный                       0.0007                        
мраморный                      0.0007                        
жилка                          0.0007                        
приветственный                 0.0007                        
расступиться                   0.0007                        
сгореть                        0.0007                        
расстроить                     0.0007                        
раздражить                     0.0007                        
воображение                    0.0007                        
венец                          0.0007                        
полчаса                        0.0007                        
петух                          0.0007                        
сидеть                         0.0007                        
наслаждение                    0.0007                        
назло                          0.0007                        
раздвоиться                    0.0007                        
прописать                      0.0007                        
лекарство                      0.0007                        
холодно                        0.0007                        
натура                         0.0007                        
смешной                        0.0007                        
привлекательность              0.0007                        
непринуждённость               0.0007                        
беспечный                      0.0007                        
похорошеть                     0.0007                        
ясный                          0.0007                        
проникнутый                    0.0007                        
звучно                         0.0007                        
весенний                       0.0007                        
разлить                        0.0007                        
плеск                          0.0007                        
махать                         0.0007                        
увидать                        0.0007                        
угловой                        0.0007                        
барин                          0.0007                        
глубоко                        0.0007                        
замереть                       0.0007                        
двойственный                   0.0007                        
бегать                         0.0007                        
твориться                      0.0007                        
зов                            0.0007                        
оканчиваться                   0.0007                        
лопатка                        0.0007                        
кашлять                        0.0007                        
умно                           0.0007                        
еда                            0.0007                        
закладывать                    0.0007                        
говорливый                     0.0007                        
одушевление                    0.0007                        
сок                            0.0007                        
сравниться                     0.0007                        
вино                           0.0007                        
мнительность                   0.0007                        
толстеть                       0.0007                        
отъезд                         0.0007                        
неузнанный                     0.0007                        
авдеев                         0.0006                        
заезжать                       0.0006                        
осветить                       0.0006                        
комната                        0.0006                        
инстинкт                       0.0006                        
одевать                        0.0006                        
жалобно                        0.0006                        
усердно                        0.0006                        
приглаживать                   0.0006                        
лысина                         0.0006                        
хлынуть                        0.0006                        
силиться                       0.0006                        
невозможность                  0.0006                        
впечатление                    0.0006                        
знать                          0.0006                        
объявить                       0.0006                        
безотрадный                    0.0006                        
разрывать                      0.0006                        
недобрый                       0.0006                        
буквальный                     0.0006                        
облить                         0.0006                        
потухнуть                      0.0006                        
потушить                       0.0006                        
наденький                      0.0006                        
стая                           0.0006                        
шепнуть                        0.0006                        
бедный                         0.0006                        
карета                         0.0006                        
поцеловать                     0.0006                        
поехать                        0.0006                        
дама                           0.0006                        
храм                           0.0006                        
гореть                         0.0006                        
одобрительный                  0.0006                        
подножие                       0.0006                        
сцена                          0.0006                        
