Term                           TF-IDF                        
марлен                         0.0165                        
ву                             0.0158                        
леверетта                      0.0101                        
генарра                        0.0087                        
эритро                         0.0083                        
фишер                          0.0073                        
переговоры                     0.0053                        
сальтад                        0.0046                        
клетка                         0.0042                        
зивер                          0.0034                        
незнакомец                     0.0031                        
юджиния                        0.0027                        
прилететь                      0.0027                        
фигура                         0.0024                        
немезид                        0.0022                        
общение                        0.0022                        
станция                        0.0022                        
бессердечный                   0.0022                        
роториана                      0.002                         
корабль                        0.002                         
резюмировать                   0.002                         
ротор                          0.0019                        
марлена                        0.0019                        
планета                        0.0018                        
контур                         0.0018                        
разум                          0.0018                        
перерыв                        0.0018                        
отец                           0.0017                        
крайла                         0.0017                        
субъективный                   0.0015                        
прокариотический               0.0015                        
дядя                           0.0015                        
зондировать                    0.0015                        
согласование                   0.0015                        
посадка                        0.0014                        
земля                          0.0014                        
облик                          0.0014                        
пошатнуться                    0.0014                        
система                        0.0014                        
предварительный                0.0014                        
конкретный                     0.0013                        
изображение                    0.0013                        
невообразимый                  0.0013                        
поселение                      0.0013                        
мама                           0.0013                        
приглашать                     0.0013                        
сверхсветовой                  0.0013                        
быстрый                        0.0012                        
солнечный                      0.0012                        
летать                         0.0012                        
гарантия                       0.0012                        
решающий                       0.0011                        
возмутиться                    0.0011                        
решение                        0.0011                        
красноватый                    0.0011                        
организм                       0.0011                        
точнее                         0.0011                        
имя                            0.0011                        
дочь                           0.0011                        
сводить                        0.0011                        
формально                      0.0011                        
землянин                       0.0011                        
математик                      0.0011                        
секретность                    0.0011                        
вендель                        0.001                         
наполнять                      0.001                         
оринель                        0.001                         
отражать                       0.001                         
мать                           0.001                         
множество                      0.001                         
податься                       0.001                         
девушка                        0.001                         
командор                       0.001                         
комиссар                       0.001                         
подросток                      0.001                         
удобный                        0.001                         
обязательно                    0.0009                        
прокариот                      0.0009                        
человеческий                   0.0009                        
живо                           0.0009                        
поинтересоваться               0.0009                        
защита                         0.0009                        
интересно                      0.0009                        
препятствие                    0.0009                        
отступить                      0.0009                        
инсигна                        0.0009                        
миссия                         0.0009                        
оружие                         0.0009                        
подтвердить                    0.0009                        
опередить                      0.0009                        
эвакуация                      0.0009                        
недорого                       0.0008                        
ощущение                       0.0008                        
ласкать                        0.0008                        
затенять                       0.0008                        
оттенок                        0.0008                        
потускнеть                     0.0008                        
обострять                      0.0008                        
крохотный                      0.0008                        
частичка                       0.0008                        
