Term                           TF-IDF                        
леверетта                      0.0095                        
купол                          0.0083                        
ву                             0.0062                        
питта                          0.0059                        
юджиния                        0.0052                        
эритро                         0.0051                        
корабль                        0.0047                        
генарра                        0.0045                        
мэрри                          0.0044                        
сальтад                        0.0035                        
ротор                          0.0034                        
джарлоу                        0.003                         
интеллект                      0.003                         
зивер                          0.003                         
вендель                        0.0029                        
прилететь                      0.0028                        
марлен                         0.0028                        
поселение                      0.0027                        
разведчик                      0.0027                        
планета                        0.0026                        
джэйнус                        0.0026                        
высадиться                     0.0023                        
бланковица                     0.0022                        
немезид                        0.0021                        
детектор                       0.0021                        
утешение                       0.0021                        
система                        0.002                         
крайла                         0.002                         
прорыть                        0.0018                        
построить                      0.0018                        
крохотулька                    0.0018                        
девчонка                       0.0018                        
общение                        0.0018                        
участок                        0.0017                        
разумный                       0.0016                        
поверхность                    0.0016                        
петь                           0.0016                        
сигнал                         0.0015                        
астероид                       0.0015                        
впутывать                      0.0015                        
разведслужба                   0.0015                        
потеря                         0.0015                        
плексон                        0.0015                        
доклад                         0.0014                        
борт                           0.0014                        
интенсивный                    0.0014                        
роториана                      0.0013                        
звёздный                       0.0013                        
посадка                        0.0012                        
разум                          0.0012                        
капитан                        0.0012                        
комиссар                       0.0011                        
чужой                          0.0011                        
компьютер                      0.0011                        
типичный                       0.0011                        
робот                          0.0011                        
сумасшедший                    0.0011                        
малоинтенсивный                0.001                         
прилегать                      0.001                         
пояс                           0.001                         
охотно                         0.001                         
подразумеваться                0.001                         
трапеза                        0.001                         
полинять                       0.001                         
свинство                       0.001                         
дорасти                        0.001                         
ах                             0.001                         
возрастной                     0.001                         
жилистый                       0.001                         
экипаж                         0.001                         
задействовать                  0.001                         
отдача                         0.001                         
заткнуться                     0.001                         
солнечный                      0.001                         
обученный                      0.001                         
недопустимо                    0.001                         
убедительность                 0.001                         
творение                       0.001                         
кодовый                        0.001                         
километр                       0.001                         
сориентироваться               0.001                         
чужестранец                    0.001                         
вызревать                      0.001                         
безрассудный                   0.001                         
безрассудство                  0.001                         
пустяковый                     0.001                         
сфальшивить                    0.001                         
безысходность                  0.001                         
контральто                     0.001                         
протекать                      0.001                         
воинственный                   0.001                         
покорность                     0.001                         
причислять                     0.001                         
относить                       0.001                         
воинственно                    0.001                         
обременительный                0.001                         
преклонный                     0.001                         
супружеский                    0.001                         
капкан                         0.001                         
самоуничтожение                0.001                         
терзание                       0.001                         
романтично                     0.001                         
манный                         0.001                         
растаять                       0.001                         
сальтада                       0.001                         
отшельник                      0.001                         
ровесник                       0.001                         
послание                       0.001                         
идентифицироваться             0.001                         
вскрыть                        0.001                         
бюрократия                     0.001                         
всемогущий                     0.001                         
единодушно                     0.001                         
собранный                      0.001                         
плексонный                     0.001                         
безопасно                      0.001                         
подискутировать                0.001                         
выполнимый                     0.001                         
флотилия                       0.001                         
неподготовленный               0.001                         
ива                            0.001                         
фишер                          0.0009                        
суперлайта                     0.0009                        
отыскать                       0.0009                        
обязанность                    0.0009                        
строительство                  0.0009                        
обедать                        0.0009                        
пустяк                         0.0009                        
излучение                      0.0009                        
вне                            0.0009                        
указание                       0.0009                        
роторианский                   0.0009                        
существо                       0.0009                        
буква                          0.0009                        
исключить                      0.0009                        
теоретически                   0.0009                        
миссия                         0.0009                        
награда                        0.0009                        
стремиться                     0.0009                        
небесный                       0.0009                        
сооружение                     0.0009                        
абсолютно                      0.0008                        
нейронный                      0.0008                        
туннель                        0.0008                        
годный                         0.0008                        
беспрепятственно               0.0008                        
распростереть                  0.0008                        
сдаваться                      0.0008                        
усиление                       0.0008                        
высаживаться                   0.0008                        
нахмуриться                    0.0008                        
нравиться                      0.0008                        
исходящий                      0.0008                        
полететь                       0.0008                        
строительный                   0.0008                        
толкаться                      0.0008                        
вконец                         0.0008                        
наброситься                    0.0008                        
боком                          0.0008                        
вытеснить                      0.0008                        
неограниченный                 0.0008                        
разведывательный               0.0008                        
апартамент                     0.0008                        
допускаться                    0.0008                        
выцветший                      0.0008                        
костлявый                      0.0008                        
распоряжение                   0.0008                        
глобальный                     0.0008                        
обнаружить                     0.0008                        
официально                     0.0008                        
космос                         0.0008                        
долететь                       0.0008                        
подготовить                    0.0008                        
укомплектовать                 0.0008                        
факт                           0.0008                        
теснота                        0.0008                        
отмерить                       0.0008                        
непохожий                      0.0008                        
обозначение                    0.0008                        
маячить                        0.0008                        
собственность                  0.0008                        
затратить                      0.0008                        
изуродовать                    0.0008                        
бомбардировка                  0.0008                        
ремонтировать                  0.0008                        
иссякать                       0.0008                        
радушный                       0.0008                        
встречать                      0.0008                        
видеосвязь                     0.0008                        
поторопить                     0.0008                        
разводить                      0.0008                        
ужасающий                      0.0008                        
инсигну                        0.0008                        
нетрудно                       0.0008                        
аполлон                        0.0008                        
ленч                           0.0008                        
даваться                       0.0008                        
либо                           0.0008                        
натянуто                       0.0008                        
отчаяться                      0.0008                        
безуспешно                     0.0008                        
побороть                       0.0008                        
утрата                         0.0008                        
непрерывный                    0.0008                        
крайле                         0.0008                        
променять                      0.0008                        
заманить                       0.0008                        
терзаться                      0.0008                        
незаслуженный                  0.0008                        
снисходительный                0.0008                        
сообщение                      0.0008                        
бездельник                     0.0008                        
лист                           0.0008                        
проступить                     0.0008                        
властный                       0.0008                        
завоеватель                    0.0008                        
нора                           0.0008                        
прибор                         0.0008                        
компьютеризовать               0.0008                        
форпост                        0.0008                        
парировать                     0.0008                        
сканировать                    0.0008                        
некого                         0.0008                        
желательно                     0.0008                        
полетать                       0.0008                        
резюмировать                   0.0008                        
разузнать                      0.0008                        
гиперсвязь                     0.0008                        
гостеприимный                  0.0008                        
порошок                        0.0008                        
равномерно                     0.0007                        
рассеять                       0.0007                        
равномерный                    0.0007                        
распределение                  0.0007                        
суша                           0.0007                        
местный                        0.0007                        
ведение                        0.0007                        
наш                            0.0007                        
переселение                    0.0007                        
внимательный                   0.0007                        
пристрастие                    0.0007                        
головидение                    0.0007                        
угодный                        0.0007                        
уволить                        0.0007                        
строить                        0.0007                        
среди                          0.0007                        
считать                        0.0007                        
исполнять                      0.0007                        
осваивать                      0.0007                        
заканчивать                    0.0007                        
столовая                       0.0007                        
беспокоить                     0.0007                        
приветливый                    0.0007                        
направить                      0.0007                        
обнаружение                    0.0007                        
сообщать                       0.0007                        
доложить                       0.0007                        
ворчать                        0.0007                        
передвижение                   0.0007                        
невозможно                     0.0007                        
свалить                        0.0007                        
давить                         0.0007                        
астронавт                      0.0007                        
