Term                           TF                            
полный                         0.0027                        
содержание                     0.0013                        
космический                    0.0045                        
течение                        0.0018                        
азимов                         0.0013                        
войти                          0.0027                        
логин                          0.0004                        
пароль                         0.0009                        
запомнить                      0.0004                        
забыть                         0.0022                        
регистрация                    0.0004                        
поиск                          0.0013                        
расширить                      0.0009                        
сочинение                      0.0009                        
краткий                        0.0009                        
произведение                   0.0018                        
характеристика                 0.0004                        
биография                      0.0009                        
критика                        0.0004                        
гдз                            0.0004                        
добавить                       0.0018                        
присылать                      0.0004                        
работа                         0.0004                        
получать                       0.0009                        
litr                           0.0004                        
ы                              0.0004                        
обменивать                     0.0004                        
майка                          0.0004                        
тетрадь                        0.0004                        
ручка                          0.0004                        
скачать                        0.0004                        
голос                          0.004                         
прозвучать                     0.0009                        
нескрываемый                   0.0009                        
торжество                      0.0004                        
молчаливый                     0.0004                        
собеседник                     0.0013                        
обратить                       0.0004                        
никакой                        0.0013                        
внимание                       0.0009                        
идея                           0.0004                        
аратапа                        0.0022                        
прийтись                       0.0018                        
прервать                       0.0013                        
творческий                     0.0004                        
фантазия                       0.0004                        
видеть                         0.0022                        
фаррилла                       0.004                         
резко                          0.0018                        
спросить                       0.0018                        
представитель                  0.0018                        
точно                          0.0004                        
должный                        0.0031                        
встретиться                    0.0004                        
хенрик                         0.0134                        
собираться                     0.0018                        
освободить                     0.0004                        
мальчик                        0.0004                        
получить                       0.0004                        
ответ                          0.0009                        
некоторый                      0.0022                        
вопрос                         0.0027                        
понадобиться                   0.0004                        
связывать                      0.0004                        
смерть                         0.0004                        
господин                       0.0036                        
отладить                       0.0004                        
тайный                         0.0004                        
связь                          0.0004                        
знать                          0.0049                        
осуществляться                 0.0004                        
вовлечь                        0.0004                        
хватить                        0.0004                        
смелость                       0.0004                        
ум                             0.0009                        
явно                           0.0004                        
недостаточно                   0.0004                        
согласный                      0.0004                        
идиотизм                       0.0004                        
служить                        0.0009                        
орудие                         0.0004                        
рука                           0.0076                        
стать                          0.0036                        
наш                            0.0009                        
ахиллесов                      0.0004                        
пятый                          0.0004                        
поэтому                        0.0013                        
необходимо                     0.0009                        
тщательно                      0.0004                        
проверить                      0.0004                        
вяло                           0.0004                        
махнуть                        0.0004                        
отдать                         0.0004                        
честь                          0.0004                        
щёлкнуть                       0.0004                        
каблук                         0.0004                        
выйти                          0.0027                        
задумчиво                      0.0009                        
крутило                        0.0004                        
фотокуб                        0.0004                        
созерцать                      0.0004                        
чернота                        0.0004                        
сменяться                      0.0004                        
изображение                    0.0004                        
время                          0.0022                        
отец                           0.0071                        
значительно                    0.0004                        
простой                        0.0004                        
завоевание                     0.0004                        
чужой                          0.0004                        
планета                        0.0062                        
крыться                        0.0004                        
жестокий                       0.0004                        
величие                        0.0004                        
манипулирование                0.0004                        
понимать                       0.0027                        
парнишка                       0.0004                        
жестокость                     0.0004                        
самый                          0.0022                        
удачный                        0.0004                        
ситуация                       0.0009                        
заселить                       0.0009                        
родий                          0.0036                        
сравнение                      0.0004                        
центурион                      0.0004                        
сириус                         0.0009                        
арктур                         0.0004                        
например                       0.0004                        
освоить                        0.0004                        
двести                         0.0004                        
первый                         0.0004                        
корабль                        0.0022                        
пересечь                       0.0004                        
граница                        0.0009                        
туманность                     0.0009                        
лошадиный                      0.0009                        
голова                         0.0018                        
пригодный                      0.0009                        
жизнь                          0.0013                        
немногие                       0.0004                        
исследовать                    0.0004                        
удовлетворять                  0.0004                        
условие                        0.0004                        
необходимый                    0.0013                        
существование                  0.0009                        
человеческий                   0.0004                        
организм                       0.0009                        
галактика                      0.0013                        
насчитываться                  0.0004                        
миллиард                       0.0009                        
звезда                         0.0013                        
являться                       0.0013                        
источник                       0.0004                        
свет                           0.0022                        
тепло                          0.0004                        
среди                          0.0004                        
пятьсот                        0.0004                        
уровень                        0.0004                        
гравитация                     0.0004                        
один                           0.0018                        
случай                         0.0013                        
составлять                     0.0004                        
земной                         0.0004                        
достигать                      0.0004                        
шестьдесят                     0.0004                        
жаркое                         0.0004                        
холодное                       0.0009                        
атмосфера                      0.0004                        
многий                         0.0009                        
ядовитый                       0.0004                        
состоять                       0.0013                        
преимущественно                0.0004                        
полностью                      0.0004                        
неон                           0.0004                        
метан                          0.0004                        
аммиак                         0.0004                        
хлор                           0.0004                        
соединение                     0.0004                        
фтор                           0.0004                        
кремний                        0.0004                        
вода                           0.0004                        
сплошь                         0.0004                        
океан                          0.0004                        
наполнить                      0.0004                        
серный                         0.0004                        
кислота                        0.0004                        
третий                         0.0009                        
углерод                        0.0004                        
сотня                          0.0004                        
мир                            0.0022                        
обитать                        0.0004                        
сосредоточить                  0.0004                        
четыре                         0.0009                        
миллион                        0.0004                        
количество                     0.0004                        
идти                           0.0009                        
постоянный                     0.0004                        
спор                           0.0004                        
данные                         0.0004                        
галактический                  0.0004                        
альманах                       0.0004                        
поселиться                     0.0004                        
ирония                         0.0004                        
судьба                         0.0009                        
тирания                        0.0045                        
завоевать                      0.0004                        
числиться                      0.0004                        
история                        0.0009                        
повторяться                    0.0004                        
период                         0.0018                        
развитие                       0.0009                        
экспансия                      0.0004                        
транстуманный                  0.0009                        
регион                         0.0004                        
ничто                          0.0009                        
отличаться                     0.0009                        
аналогичный                    0.0004                        
точка                          0.0009                        
планетарный                    0.0004                        
республика                     0.0004                        
быстро                         0.0004                        
добиться                       0.0009                        
успех                          0.0004                        
каждый                         0.0018                        
собственный                    0.0004                        
правительство                  0.0004                        
вторгнуться                    0.0004                        
оказаться                      0.0013                        
колонизировать                 0.0004                        
вовсе                          0.0009                        
раствориться                   0.0004                        
внутри                         0.0004                        
сателлит                       0.0004                        
появиться                      0.0004                        
маленький                      0.0022                        
империя                        0.0009                        
сохраняться                    0.0004                        
стабильность                   0.0004                        
способствовать                 0.0004                        
правящий                       0.0004                        
династия                       0.0009                        
хенриадов                      0.0031                        
суметь                         0.0013                        
территория                     0.0004                        
транстуманность                0.0004                        
форма                          0.0009                        
правление                      0.0004                        
измениться                     0.0004                        
укрепиться                     0.0004                        
хенриады                       0.0004                        
чрезвычайно                    0.0004                        
популярный                     0.0009                        
народ                          0.0013                        
тираниец                       0.0049                        
влиять                         0.0004                        
точнее                         0.0004                        
правитель                      0.0085                        
обязательно                    0.0009                        
происходить                    0.0009                        
чистый                         0.0004                        
должность                      0.0004                        
формально                      0.0004                        
выборный                       0.0004                        
число                          0.0009                        
член                           0.0004                        
влиятельный                    0.0009                        
семейство                      0.0009                        
устраивать                     0.0004                        
ряд                            0.0004                        
причина                        0.0004                        
помощь                         0.0004                        
счёт                           0.0009                        
избрать                        0.0004                        
позиция                        0.0004                        
полезный                       0.0009                        
выбор                          0.0004                        
момент                         0.0013                        
избрание                       0.0004                        
выглядеть                      0.0004                        
красивый                       0.0004                        
статный                        0.0004                        
мужчина                        0.0022                        
производить                    0.0004                        
приятный                       0.0004                        
впечатление                    0.0009                        
волос                          0.0004                        
слегка                         0.0004                        
посеребрить                    0.0004                        
седина                         0.0004                        
бровь                          0.0013                        
оставаться                     0.0018                        
густой                         0.0004                        
такой                          0.0013                        
чёрный                         0.0004                        
глаз                           0.0027                        
дочь                           0.0045                        
смотреть                       0.0013                        
взбесить                       0.0004                        
скрывать                       0.0004                        
высокий                        0.0009                        
дюйм                           0.0013                        
рост                           0.0013                        
шесть                          0.0004                        
фут                            0.0009                        
вспыльчивый                    0.0004                        
девушка                        0.0058                        
темноволосый                   0.0004                        
темноглазый                    0.0004                        
чей                            0.0009                        
лицо                           0.0036                        
потемнеть                      0.0004                        
гнев                           0.0004                        
беспрестанно                   0.0004                        
повторять                      0.0009                        
мочь                           0.0085                        
сделать                        0.0027                        
делать                         0.0022                        
отвечать                       0.0009                        
арт                            0.0062                        
неразумно                      0.0004                        
поделать                       0.0004                        
мой                            0.0053                        
положение                      0.0009                        
выбирать                       0.0004                        
мама                           0.0004                        
живой                          0.0013                        
найти                          0.0004                        
выход                          0.0004                        
топнуть                        0.0004                        
нога                           0.0013                        
артемида                       0.0062                        
королевский                    0.0009                        
который                        0.0009                        
поколение                      0.0004                        
носить                         0.0004                        
женщина                        0.0013                        
несомненно                     0.0004                        
черта                          0.0004                        
побрать                        0.0004                        
твой                           0.0027                        
мать                           0.0009                        
талант                         0.0004                        
вещь                           0.0013                        
пойти                          0.0013                        
ничуть                         0.0009                        
похожий                        0.0009                        
серьёзно                       0.0009                        
оставить                       0.0009                        
надежда                        0.0009                        
возможно                       0.0018                        
взглянуть                      0.0013                        
благосклонно                   0.0004                        
иметь                          0.0045                        
вид                            0.0045                        
неопределённый                 0.0004                        
жест                           0.0009                        
положить                       0.0004                        
плечо                          0.0018                        
резкий                         0.0009                        
движение                       0.0004                        
сбросить                       0.0004                        
провести                       0.0009                        
вечер                          0.0004                        
раздражённо                    0.0004                        
ответить                       0.004                         
попытаться                     0.0022                        
поцеловать                     0.0009                        
омерзительно                   0.0004                        
целоваться                     0.0004                        
дорогой                        0.0018                        
поцелуй                        0.0004                        
значить                        0.0004                        
означать                       0.0004                        
прабабка                       0.0004                        
дань                           0.0004                        
традиция                       0.0004                        
молодой                        0.0027                        
кровь                          0.0022                        
горячий                        0.0004                        
последний                      0.0018                        
чудовище                       0.0004                        
сразу                          0.0013                        
переливание                    0.0004                        
показаться                     0.0009                        
человек                        0.0013                        
пигмей                         0.0004                        
персона                        0.0004                        
прибавлять                     0.0004                        
кривоногий                     0.0004                        
дурно                          0.0004                        
пахнуть                        0.0013                        
из                             0.0009                        
рот                            0.0013                        
шмыгнуть                       0.0004                        
нос                            0.0018                        
вонять                         0.0009                        
неприятный                     0.0009                        
запах                          0.0004                        
нравиться                      0.0009                        
труд                           0.0004                        
дойти                          0.0004                        
смысл                          0.0004                        
слово                          0.0049                        
побледнеть                     0.0009                        
понизиться                     0.0004                        
шёпот                          0.0009                        
считать                        0.0004                        
высокопоставленный             0.0004                        
особа                          0.0004                        
двор                           0.0018                        
личный                         0.0004                        
качество                       0.0004                        
известно                       0.0022                        
орган                          0.0004                        
именовать                      0.0004                        
тип                            0.0004                        
подойти                        0.0004                        
зажать                         0.0004                        
толкнуть                       0.0004                        
шмякнуться                     0.0004                        
спина                          0.0009                        
размахивать                    0.0004                        
свой                           0.0013                        
кривулька                      0.0004                        
палец                          0.0013                        
показать                       0.0013                        
дело                           0.0018                        
закрыть                        0.0009                        
миг                            0.0009                        
выглянуть                      0.0004                        
наружу                         0.0004                        
жалобно                        0.0004                        
поступить                      0.0009                        
бояться                        0.0009                        
переполнить                    0.0004                        
чаша                           0.0004                        
терпение                       0.0004                        
понять                         0.0022                        
находиться                     0.0013                        
отойти                         0.0009                        
видео                          0.0004                        
папа                           0.0004                        
ха                             0.0004                        
смелый                         0.0004                        
двое                           0.0004                        
слуга                          0.0004                        
помочь                         0.0013                        
подняться                      0.0004                        
пытаться                       0.0004                        
дышать                         0.0004                        
почесать                       0.0004                        
затылок                        0.0004                        
внезапно                       0.0022                        
схватить                       0.0009                        
замуж                          0.0018                        
спорить                        0.0013                        
политический                   0.0004                        
необходимость                  0.0009                        
шутка                          0.0013                        
сложить                        0.0004                        
левый                          0.0004                        
фига                           0.0004                        
подписывать                    0.0004                        
правый                         0.0004                        
брачный                        0.0004                        
контракт                       0.0004                        
смутить                        0.0004                        
удивляться                     0.0004                        
упрямство                      0.0004                        
погодить                       0.0004                        
сосредоточиться                0.0009                        
хотеть                         0.0022                        
замужество                     0.0009                        
вспомнить                      0.0009                        
ах                             0.0004                        
стоить                         0.0004                        
относиться                     0.0004                        
предлагать                     0.0004                        
любовник                       0.0013                        
покраснеть                     0.0004                        
гневно                         0.0004                        
воспитывать                    0.0004                        
умный                          0.0004                        
рассудительный                 0.0004                        
девочка                        0.0004                        
говорить                       0.0045                        
подобный                       0.0027                        
стыд                           0.0004                        
срам                           0.0004                        
