Term                           TF-IDF                        
лингана                        0.0171                        
джилберт                       0.0148                        
автарх                         0.0116                        
байрон                         0.0106                        
судно                          0.0059                        
родий                          0.0056                        
прыжок                         0.0051                        
корабль                        0.0047                        
тиранийский                    0.0043                        
тирания                        0.0039                        
артемида                       0.0036                        
коллекция                      0.0032                        
справочник                     0.0029                        
яхта                           0.0029                        
королевство                    0.0028                        
мятежный                       0.0028                        
линганец                       0.0028                        
автархома                      0.0027                        
отец                           0.0024                        
ризетта                        0.0023                        
фаррилла                       0.0022                        
планета                        0.0021                        
окно                           0.0021                        
массометр                      0.002                         
аристократический              0.002                         
кровопийца                     0.0018                        
радар                          0.0018                        
госпиталь                      0.0018                        
q                              0.0018                        
почтовый                       0.0018                        
князёк                         0.0018                        
беспощадность                  0.0017                        
миля                           0.0017                        
тираниец                       0.0015                        
образец                        0.0015                        
неутомимый                     0.0015                        
арт                            0.0015                        
космический                    0.0014                        
автоматически                  0.0014                        
борт                           0.0014                        
линганский                     0.0014                        
интрига                        0.0014                        
туннель                        0.0014                        
люк                            0.0014                        
джоунтить                      0.0014                        
радиосвязь                     0.0013                        
восхитительно                  0.0013                        
метеор                         0.0013                        
ценность                       0.0013                        
проекция                       0.0013                        
концентрат                     0.0013                        
архитектура                    0.0013                        
взаимодействие                 0.0013                        
сандёр                         0.0013                        
вновь                          0.0012                        
мятежник                       0.0012                        
довод                          0.0012                        
координата                     0.0012                        
полчаса                        0.0012                        
показание                      0.0012                        
прилететь                      0.0011                        
постичь                        0.0011                        
правитель                      0.0011                        
совершать                      0.001                         
военный                        0.001                         
увеличивать                    0.001                         
ничей                          0.001                         
приборный                      0.001                         
значение                       0.001                         
радиотехник                    0.001                         
галактика                      0.001                         
инженерия                      0.001                         
совершенный                    0.001                         
металлургический               0.001                         
назревать                      0.001                         
зарождение                     0.001                         
видеотриллер                   0.001                         
кидаться                       0.001                         
стёртый                        0.001                         
подлететь                      0.001                         
капитулировать                 0.001                         
кузен                          0.001                         
непонимание                    0.001                         
судёнышко                      0.001                         
листать                        0.001                         
подсказка                      0.001                         
изображаться                   0.001                         
ось                            0.001                         
перпендикулярный               0.001                         
схема                          0.001                         
рассчитываться                 0.001                         
наспех                         0.001                         
покладистый                    0.001                         
перехотеться                   0.001                         
груда                          0.001                         
макияж                         0.001                         
питьевой                       0.001                         
оттенять                       0.001                         
смоль                          0.001                         
донжуан                        0.001                         
прошествие                     0.001                         
разогреть                      0.001                         
божественный                   0.001                         
зеро                           0.001                         
преобразиться                  0.001                         
выравнять                      0.001                         
подозрительно                  0.001                         
политический                   0.001                         
стратегический                 0.001                         
особняком                      0.001                         
отводить                       0.001                         
штурвал                        0.001                         
автархов                       0.001                         
удельный                       0.001                         
землевладение                  0.001                         
безалаберный                   0.001                         
объединиться                   0.001                         
стабилизироваться              0.001                         
совпадение                     0.001                         
пассажир                       0.001                         
добриться                      0.001                         
подпустить                     0.001                         
крупнокалиберный               0.001                         
скрежет                        0.001                         
скафандр                       0.001                         
задраить                       0.001                         
бережно                        0.001                         
зажечь                         0.001                         
выдох                          0.001                         
табак                          0.001                         
донесение                      0.001                         
совместительство               0.001                         
автархамить                    0.001                         
лететь                         0.0009                        
сперва                         0.0009                        
суметь                         0.0009                        
туманность                     0.0009                        
намерить                       0.0009                        
дядя                           0.0009                        
рассказывать                   0.0009                        
пробыть                        0.0009                        
скорость                       0.0009                        
