Term                           TF-IDF                        
тессать                        0.0106                        
крайла                         0.0097                        
виртуальный                    0.0092                        
отталкивание                   0.0061                        
уравнение                      0.0056                        
ву                             0.0051                        
допущение                      0.0041                        
гиперпространство              0.0038                        
притяжение                     0.0038                        
гравитационный                 0.0036                        
скорость                       0.0035                        
марлен                         0.0032                        
корабль                        0.003                         
звезда                         0.0029                        
объект                         0.0029                        
отрицательный                  0.0028                        
суперлайта                     0.0026                        
пространство                   0.0026                        
переместиться                  0.0026                        
искривиться                    0.0026                        
трёпка                         0.0026                        
переход                        0.0025                        
перемещаться                   0.0023                        
параметр                       0.0023                        
путь                           0.0022                        
гравитация                     0.0022                        
точка                          0.002                         
положительный                  0.002                         
юджиния                        0.0018                        
эритро                         0.0018                        
обычный                        0.0018                        
евклидов                       0.0018                        
деметаболизатор                0.0018                        
искривление                    0.0018                        
нуль                           0.0018                        
отталкиваться                  0.0018                        
частица                        0.0018                        
сверхсветовой                  0.0017                        
вселенная                      0.0017                        
довольствоваться               0.0016                        
яркий                          0.0016                        
мечта                          0.0016                        
удовлетворять                  0.0015                        
солнце                         0.0015                        
яркость                        0.0015                        
агония                         0.0015                        
идиотка                        0.0015                        
фундаментальный                0.0015                        
существующий                   0.0014                        
исправить                      0.0014                        
расположение                   0.0014                        
движение                       0.0014                        
комета                         0.0014                        
облегчённо                     0.0014                        
разобраться                    0.0013                        
иллюминатор                    0.0013                        
светило                        0.0013                        
направление                    0.0013                        
взволнованно                   0.0013                        
тело                           0.0013                        
взаимодействие                 0.0013                        
программа                      0.0012                        
оказывать                      0.0012                        
отталкивать                    0.0012                        
предположить                   0.0011                        
отчаяние                       0.0011                        
понемногу                      0.0011                        
регенерация                    0.0011                        
быстрый                        0.0011                        
мэрри                          0.0011                        
перемещение                    0.0011                        
концепция                      0.0011                        
описывать                      0.0011                        
математик                      0.0011                        
рэн                            0.001                         
наш                            0.001                         
абсолютно                      0.001                         
секунда                        0.001                         
захотеть                       0.001                         
ошибка                         0.001                         
вендель                        0.001                         
небо                           0.001                         
доля                           0.001                         
сравнить                       0.001                         
сутки                          0.001                         
обратный                       0.001                         
катастрофа                     0.001                         
световой                       0.001                         
полёт                          0.001                         
прямой                         0.001                         
хватить                        0.001                         
смертельно                     0.001                         
величина                       0.001                         
немезид                        0.0009                        
существовать                   0.0009                        
вдвое                          0.0009                        
зивер                          0.0009                        
станция                        0.0009                        
разумный                       0.0009                        
испугаться                     0.0009                        
безнадёжно                     0.0009                        
система                        0.0009                        
менять                         0.0009                        
кончиться                      0.0009                        
двигаться                      0.0009                        
изменить                       0.0009                        
теория                         0.0009                        
промолчать                     0.0009                        
решаться                       0.0009                        
спасть                         0.0009                        
проснуться                     0.0009                        
