Term                           TF                            
полный                         0.0024                        
содержание                     0.0013                        
космический                    0.0022                        
течение                        0.0022                        
азимов                         0.0013                        
войти                          0.0013                        
логин                          0.0004                        
пароль                         0.0009                        
запомнить                      0.0004                        
забыть                         0.0018                        
регистрация                    0.0004                        
поиск                          0.0013                        
расширить                      0.0004                        
сочинение                      0.0009                        
краткий                        0.0009                        
произведение                   0.0018                        
характеристика                 0.0004                        
биография                      0.0009                        
критика                        0.0004                        
гдз                            0.0004                        
добавить                       0.0013                        
присылать                      0.0004                        
работа                         0.0049                        
получать                       0.0004                        
litr                           0.0004                        
ы                              0.0004                        
обменивать                     0.0004                        
майка                          0.0004                        
тетрадь                        0.0004                        
ручка                          0.0009                        
скачать                        0.0004                        
пролог                         0.0004                        
земля                          0.0013                        
прийти                         0.0022                        
решение                        0.0013                        
зарождаться                    0.0009                        
медленно                       0.0026                        
твёрдый                        0.0009                        
неделя                         0.0009                        
чувствовать                    0.0013                        
надёжный                       0.0004                        
кабина                         0.0009                        
корабль                        0.0004                        
видеть                         0.0044                        
холодный                       0.0009                        
чернота                        0.0004                        
пространство                   0.0018                        
хотеть                         0.0035                        
сделать                        0.0018                        
быстрый                        0.0004                        
сообщение                      0.0013                        
межзвёздный                    0.0009                        
космоаналитический             0.0004                        
бюро                           0.0009                        
вернуться                      0.0013                        
космос                         0.0018                        
задерживать                    0.0004                        
тюрьма                         0.0004                        
допить                         0.0004                        
чай                            0.0004                        
взглянуть                      0.004                         
человек                        0.0049                        
другой                         0.0026                        
сторона                        0.0018                        
стол                           0.0013                        
остаться                       0.0013                        
долгий                         0.0013                        
ответ                          0.0004                        
первый                         0.0013                        
письмо                         0.0004                        
должный                        0.0049                        
выпускать                      0.0004                        
рука                           0.0075                        
потрогать                      0.0004                        
гладкий                        0.0009                        
стержень                       0.0009                        
карман                         0.0009                        
понимать                       0.0022                        
весь                           0.0004                        
щекотливость                   0.0004                        
проблема                       0.0004                        
речь                           0.0004                        
идти                           0.0035                        
уничтожение                    0.0004                        
целый                          0.0009                        
планета                        0.0018                        
возразить                      0.0004                        
землянин                       0.0035                        
передать                       0.0009                        
подробность                    0.0009                        
сарка                          0.0022                        
обитатель                      0.0004                        
мочь                           0.0026                        
вызвать                        0.0004                        
паника                         0.0004                        
говорить                       0.0018                        
обдумать                       0.0004                        
стать                          0.0022                        
ясно                           0.0004                        
невозможно                     0.0009                        
представитель                  0.0004                        
мкб                            0.0013                        
прибыть                        0.0004                        
помолчать                      0.0004                        
спросить                       0.0049                        
организация                    0.0004                        
нужный                         0.0018                        
мера                           0.0013                        
неужели                        0.0009                        
настолько                      0.0009                        
уделить                        0.0004                        
минута                         0.0013                        
мой                            0.0009                        
расчёт                         0.0009                        
предлагать                     0.0004                        
согласиться                    0.0018                        
к                              0.0009                        
верить                         0.0013                        
флорин                         0.004                         
уничтожить                     0.0004                        
зря                            0.0004                        
горячиться                     0.0009                        
удивительный                   0.0004                        
думать                         0.0022                        
бедняжка                       0.0004                        
подействовать                  0.0004                        
сумасшедший                    0.0018                        
чепуха                         0.0004                        
притворяться                   0.0004                        
увидеть                        0.0031                        
нехорошо                       0.0009                        
помочь                         0.0022                        
истерически                    0.0004                        
вскричать                      0.0004                        
уйти                           0.0013                        
остановить                     0.0004                        
убить                          0.0013                        
посметь                        0.0009                        
кровь                          0.0004                        
население                      0.0009                        
пасть                          0.0004                        
связать                        0.0004                        
запрет                         0.0009                        
хотеться                       0.0013                        
делать                         0.0035                        
начать                         0.0009                        
искать                         0.0004                        
полагаться                     0.0004                        
регулярно                      0.0004                        
отсылать                       0.0004                        
известно                       0.0004                        
знать                          0.0119                        
безопасность                   0.0009                        
опуститься                     0.0013                        
вообще                         0.0004                        
получить                       0.0009                        
голова                         0.0035                        
кружиться                      0.0004                        
тело                           0.0013                        
начало                         0.0004                        
цепенеть                       0.0004                        
собеседник                     0.0004                        
встать                         0.0013                        
обойти                         0.0004                        
большой                        0.0026                        
направляться                   0.0004                        
слово                          0.0044                        
прозвучать                     0.0009                        
необыкновенно                  0.0004                        
ласково                        0.0004                        
ради                           0.0004                        
ваш                            0.0004                        
благо                          0.0004                        
появиться                      0.0018                        
чёрный                         0.0022                        
прохрипеть                     0.0009                        
психозонд                      0.0009                        
попытаться                     0.0004                        
едва                           0.0004                        
смочь                          0.0018                        
пошевелиться                   0.0004                        
сквозь                         0.0009                        
свести                         0.0004                        
судорога                       0.0004                        
зуб                            0.0004                        
зелье                          0.0009                        
послушать                      0.0004                        
причинить                      0.0004                        
вред                           0.0004                        
возбудить                      0.0009                        
встревожить                    0.0004                        
удалить                        0.0013                        
тревога                        0.0013                        
сидеть                         0.0018                        
тупо                           0.0009                        
великий                        0.0004                        
опоить                         0.0004                        
закричать                      0.0018                        
убежать                        0.0004                        
подойти                        0.0009                        
стоять                         0.0013                        
глядеть                        0.0013                        
сверху                         0.0004                        
снизу                          0.0009                        
глазной                        0.0004                        
яблоко                         0.0004                        
двигаться                      0.0009                        
автоматический                 0.0004                        
прибор                         0.0013                        
присоединить                   0.0004                        
конец                          0.0022                        
соответствовать                0.0004                        
точка                          0.0004                        
череп                          0.0004                        
начинать                       0.0009                        
действовать                    0.0004                        
смотреть                       0.0049                        
ужас                           0.0009                        
мышца                          0.0004                        
глаз                           0.0035                        
одеревенеть                    0.0004                        
почувствовать                  0.0009                        
острый                         0.0009                        
тонкий                         0.0013                        
проволочка                     0.0004                        
впиваться                      0.0004                        
черепной                       0.0004                        
шов                            0.0004                        
молча                          0.0004                        
мысленно                       0.0004                        
вопить                         0.0004                        
мир                            0.0018                        
населить                       0.0004                        
рисковать                      0.0004                        
жизнь                          0.0022                        
сотня                          0.0004                        
доноситься                     0.0009                        
глухо                          0.0004                        
удаляться                      0.0004                        
тоннель                        0.0004                        
длинный                        0.0018                        
больно                         0.0004                        
час                            0.0018                        
вместе                         0.0013                        
посмеяться                     0.0004                        
мрак                           0.0004                        
окутать                        0.0004                        
полностью                      0.0009                        
развеяться                     0.0004                        
понадобиться                   0.0004                        
завеса                         0.0004                        
подняться                      0.0018                        
отчасти                        0.0013                        
найдёныш                       0.0004                        
рик                            0.0282                        
вскочить                       0.0004                        
дрожать                        0.0009                        
прислониться                   0.0004                        
голый                          0.0009                        
стена                          0.0013                        
вспомнить                      0.0088                        
шум                            0.0004                        
жевать                         0.0004                        
челюсть                        0.0004                        
затихнуть                      0.0004                        
лицо                           0.0026                        
одинаково                      0.0013                        
чистый                         0.0004                        
бритый                         0.0004                        
лосниться                      0.0004                        
белые                          0.0004                        
тусклый                        0.0013                        
свечение                       0.0004                        
интерес                        0.0004                        
рефлекторный                   0.0004                        
внимание                       0.0004                        
внезапный                      0.0009                        
неожиданный                    0.0009                        
возглас                        0.0004                        
крикнуть                       0.0004                        
замолчать                      0.0004                        
сесть                          0.0009                        
отвернуться                    0.0009                        
жевание                        0.0004                        
возобновиться                  0.0004                        
вдоль                          0.0004                        
услышать                       0.0004                        
пожатие                        0.0004                        
плечо                          0.0013                        
палец                          0.0026                        
покрутиться                    0.0004                        
висок                          0.0004                        
значить                        0.0004                        
взять                          0.0009                        
ложка                          0.0009                        
край                           0.0009                        
зубец                          0.0004                        
передний                       0.0004                        
неуклюже                       0.0004                        
хлебать                        0.0004                        
резать                         0.0004                        
протыкать                      0.0004                        
раб                            0.0004                        
плантация                      0.0013                        
достаточно                     0.0004                        
повернуть                      0.0004                        
уставиться                     0.0004                        
свой                           0.0031                        
номер                          0.0018                        
выбить                         0.0004                        
прочий                         0.0004                        
имя                            0.0013                        
кличка                         0.0004                        
жаргон                         0.0004                        
означать                       0.0004                        
вроде                          0.0004                        
идиот                          0.0009                        
вспоминать                     0.0035                        
впервые                        0.0018                        
фабрика                        0.0035                        
нечто                          0.0004                        
бывший                         0.0004                        
подумать                       0.0004                        
вечером                        0.0004                        
догнать                        0.0004                        
валон                          0.0124                        
марч                           0.0018                        
слышать                        0.0013                        
завтрак                        0.0004                        
неприятность                   0.0004                        
пробормотать                   0.0004                        
лоно                           0.0057                        
настаивать                     0.0004                        
верно                          0.0022                        
называть                       0.0004                        
из                             0.0009                        
сила                           0.0004                        
стараться                      0.0004                        
раздобыть                      0.0004                        
рваный                         0.0004                        
адресный                       0.0004                        
книга                          0.0031                        
прочесть                       0.0013                        
один                           0.0026                        
показаться                     0.0013                        
знакомый                       0.0013                        
прямо                          0.0004                        
бросить                        0.0013                        
нахмуриться                    0.0009                        
облизнуть                      0.0004                        
