Term                           IDF                           
васильев                       0.7959                        
велтистовый                    2.0                           
веневитин                      2.0                           
вересаев                       2.0                           
верна                          0.7959                        
визбора                        0.7959                        
владим                         0.7959                        
вознесенский                   2.0                           
войнович                       0.7959                        
волков                         0.7959                        
воробьёв                       0.7959                        
воскобойников                  2.0                           
высоцкий                       2.0                           
гавальда                       2.0                           
гайдар                         0.7959                        
галич                          2.0                           
галкин                         2.0                           
гаршин                         0.7959                        
генри                          0.6778                        
герман                         2.0                           
герцен                         0.7959                        
гёте                           0.7959                        
гиппиус                        0.7959                        
глинка                         2.0                           
гоголь                         0.7959                        
гончаров                       0.7959                        
горький                        0.6198                        
гофман                         0.7959                        
гранин                         2.0                           
гребенщик                      2.0                           
грибоедов                      0.7959                        
григорьев                      0.7959                        
грин                           0.7959                        
гроссман                       2.0                           
гумилёв                        0.7959                        
гюго                           0.7959                        
данте                          0.7959                        
державин                       0.7959                        
домбровский                    2.0                           
достоевский                    0.7959                        
древнерусский                  0.7959                        
друнина                        2.0                           
дудинец                        0.7959                        
дюма                           0.7447                        
евтушенко                      0.7959                        
егэ                            2.0                           
ермаков                        2.0                           
ерофеев                        2.0                           
ершовый                        0.7959                        
есенин                         0.7959                        
жуковский                      0.7959                        
заболоцкий                     0.7959                        
задорнов                       0.7959                        
заяц                           2.0                           
закруткин                      0.7959                        
замятин                        0.7959                        
зарубежный                     2.0                           
зощенко                        0.7959                        
зюскинд                        0.7959                        
ильф                           0.7959                        
петров                         0.7959                        
искандер                       0.7959                        
каверин                        0.7959                        
казакевич                      0.7959                        
казак                          0.7959                        
карамзин                       0.7959                        
кассиль                        0.7959                        
катаев                         0.7959                        
кафка                          0.7959                        
ким                            0.7959                        
клюев                          2.0                           
кольцов                        0.7959                        
кондратьев                     0.7959                        
конецкий                       2.0                           
короленко                      0.7959                        
корчак                         2.0                           
крылов                         0.7959                        
крюс                           2.0                           
кузмина                        0.7959                        
куприн                         0.7959                        
лавреневый                     0.7959                        
лакшин                         2.0                           
левитанский                    2.0                           
лённрота                       2.0                           
леонов                         2.0                           
лермонтов                      0.7959                        
лесков                         0.7959                        
липатов                        2.0                           
лихан                          2.0                           
лихачёв                        0.7959                        
ломоносов                      0.7959                        
лондон                         0.7959                        
маканин                        2.0                           
макаренко                      2.0                           
мандельштам                    0.7959                        
маринин                        2.0                           
маршак                         0.7959                        
маяковский                     0.7959                        
межир                          2.0                           
мерим                          2.0                           
метерлинк                      0.7959                        
можай                          2.0                           
мольер                         0.7959                        
мурашов                        2.0                           
набоков                        0.7959                        
нагибин                        2.0                           
надсон                         2.0                           
некрасов                       0.7959                        
носов                          0.7959                        
овечкин                        2.0                           
окуджава                       0.7959                        
островский                     0.5528                        
пастернак                      0.7959                        
паустовский                    0.7959                        
пелевин                        0.7959                        
петрарка                       0.7959                        
петрушевский                   0.7959                        
пикуль                         2.0                           
пильняк                        0.7959                        
писемский                      0.7959                        
платонов                       0.7959                        
эдгар                          0.7959                        
полонский                      2.0                           
поляк                          2.0                           
попов                          1.699                         
приставкин                     2.0                           
пришвин                        0.7959                        
пушкин                         0.7212                        
пьецух                         2.0                           
радищев                        0.7959                        
разный                         0.4559                        
распутин                       0.7959                        
ремиз                          2.0                           
рид                            0.7959                        
рождественский                 0.7959                        
розовый                        0.7447                        
рубцов                         0.7959                        
рыбак                          0.7959                        
рылеев                         0.7959                        
рыленок                        2.0                           
сабатиня                       2.0                           
светлый                        0.5686                        
северянин                      0.7959                        
семён                          1.5229                        
сервантес                      0.7959                        
