Term                           TF-IDF                        
файф                           0.0257                        
рик                            0.0196                        
джунц                          0.0175                        
флорин                         0.0123                        
эбл                            0.0088                        
сквайр                         0.0069                        
резидент                       0.0069                        
космоаналитик                  0.0064                        
углеродный                     0.0062                        
саркит                         0.0049                        
мкб                            0.0047                        
трантор                        0.0043                        
кырт                           0.004                         
углерод                        0.0039                        
сарка                          0.0034                        
валон                          0.0034                        
туземец                        0.0034                        
теренс                         0.0034                        
совещание                      0.0031                        
джунец                         0.0031                        
стина                          0.0031                        
флориниана                     0.0031                        
превращение                    0.0031                        
водород                        0.0031                        
гелий                          0.0031                        
сударь                         0.003                         
космоаналитика                 0.0029                        
звезда                         0.0026                        
посёлок                        0.0024                        
зондирование                   0.0023                        
байрон                         0.0023                        
фаррилл                        0.0022                        
ядро                           0.0021                        
сарк                           0.002                         
бумага                         0.002                         
недра                          0.002                         
ручаться                       0.002                         
течение                        0.0018                        
вспоминать                     0.0018                        
откровение                     0.0018                        
психозонд                      0.0018                        
предвзрывной                   0.0018                        
взорваться                     0.0017                        
кырот                          0.0017                        
лоно                           0.0016                        
шантаж                         0.0015                        
великий                        0.0015                        
начальник                      0.0015                        
файфома                        0.0015                        
либо                           0.0015                        
участвовать                    0.0015                        
карточка                       0.0015                        
транторианин                   0.0015                        
стадия                         0.0015                        
неофициально                   0.0015                        
победитель                     0.0014                        
количество                     0.0014                        
теория                         0.0014                        
атом                           0.0014                        
просочиться                    0.0014                        
эвакуация                      0.0014                        
галактика                      0.0014                        
знающий                        0.0014                        
селить                         0.0014                        
произнести                     0.0013                        
доктор                         0.0013                        
временно                       0.0013                        
пронзительный                  0.0013                        
достаточный                    0.0013                        
джоунтить                      0.0013                        
стол                           0.0012                        
преступник                     0.0012                        
беспомощный                    0.0012                        
соскользнуть                   0.0012                        
планета                        0.0012                        
зонд                           0.0012                        
взрыв                          0.0012                        
фаза                           0.0012                        
непосредственный               0.0012                        
переселение                    0.0012                        
шелестеть                      0.0012                        
гневно                         0.0011                        
флоринианин                    0.0011                        
нанять                         0.0011                        
флоринианский                  0.0011                        
дешёвый                        0.0011                        
космический                    0.001                         
комедия                        0.001                         
устроить                       0.001                         
познание                       0.001                         
заглядывать                    0.001                         
кыртовый                       0.001                         
верхний                        0.001                         
силовой                        0.001                         
энергия                        0.001                         
реакция                        0.001                         
выдвинуть                      0.001                         
продать                        0.001                         
помнить                        0.0009                        
установить                     0.0009                        
слушайте                       0.0009                        
вырваться                      0.0009                        
неуклюже                       0.0009                        
настойчиво                     0.0009                        
патрульный                     0.0009                        
ложь                           0.0009                        
договориться                   0.0009                        
спрятать                       0.0009                        
письмо                         0.0009                        
тревога                        0.0009                        
разум                          0.0009                        
ядерный                        0.0009                        
терять                         0.0009                        
богатство                      0.0009                        
спальня                        0.0009                        
экран                          0.0009                        
смутно                         0.0008                        
опуститься                     0.0008                        
сверху                         0.0008                        
прокурор                       0.0008                        
выручить                       0.0008                        
финансировать                  0.0008                        
годовой                        0.0008                        
репарация                      0.0008                        
оккупация                      0.0008                        
цепкий                         0.0008                        
ссориться                      0.0008                        
безгубый                       0.0008                        
ложный                         0.0008                        
выдача                         0.0008                        
физический                     0.0008                        
