Term                           TF-IDF                        
хенрик                         0.0134                        
байрон                         0.0104                        
арт                            0.0068                        
артемида                       0.0068                        
правитель                      0.0065                        
вагончик                       0.0054                        
тираниец                       0.0051                        
тирания                        0.0041                        
джилберт                       0.0039                        
фаррилла                       0.0038                        
родий                          0.0036                        
светлость                      0.0036                        
хенриадов                      0.0034                        
дворец                         0.0032                        
отец                           0.0028                        
девушка                        0.0027                        
лейтенант                      0.0027                        
аратапа                        0.0025                        
покушение                      0.0025                        
охранник                       0.0023                        
хан                            0.0022                        
мэлейн                         0.0022                        
превосходительство             0.0022                        
господин                       0.0021                        
гостить                        0.002                         
расслабиться                   0.002                         
бластер                        0.002                         
вайдемос                       0.0019                        
транстуманный                  0.0018                        
вонять                         0.0018                        
двор                           0.0018                        
основатель                     0.0018                        
рельс                          0.0018                        
феодал                         0.0018                        
замуж                          0.0017                        
юноша                          0.0017                        
убивать                        0.0017                        
прелестный                     0.0017                        
любовник                       0.0016                        
влиятельный                    0.0015                        
дюйм                           0.0015                        
навигация                      0.0015                        
человечек                      0.0015                        
сын                            0.0015                        
исполнительный                 0.0015                        
лошадиный                      0.0014                        
миг                            0.0014                        
папочка                        0.0014                        
дверца                         0.0014                        
подслушивать                   0.0014                        
период                         0.0013                        
династия                       0.0013                        
королевский                    0.0013                        
замужество                     0.0013                        
планета                        0.0012                        
дочь                           0.0012                        
пахнуть                        0.0012                        
непроизвольно                  0.0012                        
вопреки                        0.0012                        
убежище                        0.0012                        
приспособление                 0.0012                        
нескрываемый                   0.0011                        
заселить                       0.0011                        
семейство                      0.0011                        
дорогой                        0.0011                        
кровь                          0.0011                        
внезапно                       0.0011                        
беда                           0.0011                        
мистер                         0.0011                        
лаборатория                    0.0011                        
космический                    0.001                         
представитель                  0.001                         
популярный                     0.001                         
народ                          0.001                         
из                             0.001                         
шутка                          0.001                         
интерес                        0.001                         
ночь                           0.001                         
запретить                      0.001                         
увидеться                      0.001                         
джил                           0.001                         
огорчать                       0.001                         
собеседник                     0.0009                        
туманность                     0.0009                        
суметь                         0.0009                        
рост                           0.0009                        
фут                            0.0009                        
сосредоточиться                0.0009                        
прижаться                      0.0009                        
рассердиться                   0.0009                        
охрана                         0.0009                        
прибыть                        0.0009                        
привычный                      0.0009                        
джоунтить                      0.0009                        
торопливо                      0.0009                        
тьма                           0.0009                        
наступление                    0.0009                        
отладить                       0.0008                        
ахиллесов                      0.0008                        
крутило                        0.0008                        
время                          0.0008                        
манипулирование                0.0008                        
парнишка                       0.0008                        
центурион                      0.0008                        
сириус                         0.0008                        
состоять                       0.0008                        
аммиак                         0.0008                        
хлор                           0.0008                        
фтор                           0.0008                        
серный                         0.0008                        
альманах                       0.0008                        
числиться                      0.0008                        
сателлит                       0.0008                        
транстуманность                0.0008                        
выборный                       0.0008                        
избрание                       0.0008                        
статный                        0.0008                        
посеребрить                    0.0008                        
вспыльчивый                    0.0008                        
темноволосый                   0.0008                        
темноглазый                    0.0008                        
чей                            0.0008                        
ничуть                         0.0008                        
благосклонно                   0.0008                        
омерзительно                   0.0008                        
целоваться                     0.0008                        
прабабка                       0.0008                        
переливание                    0.0008                        
пигмей                         0.0008                        
кривоногий                     0.0008                        
шмыгнуть                       0.0008                        
нос                            0.0008                        
шмякнуться                     0.0008                        
кривулька                      0.0008                        
спорить                        0.0008                        
фига                           0.0008                        
брачный                        0.0008                        
срам                           0.0008                        
брезгливость                   0.0008                        
уточнить                       0.0008                        
полигам                        0.0008                        
муженёк                        0.0008                        
проститутка                    0.0008                        
вульгарно                      0.0008                        
заливаться                     0.0008                        
принуждать                     0.0008                        
каз                            0.0008                        
убить                          0.0008                        
любимчик                       0.0008                        
отдохнуть                      0.0008                        
вздремнуть                     0.0008                        
аудиенция                      0.0008                        
глуповато                      0.0008                        
перенапрячься                  0.0008                        
закрыться                      0.0008                        
варварский                     0.0008                        
кульминационный                0.0008                        
взмывать                       0.0008                        
ввысь                          0.0008                        
крещендо                       0.0008                        
ожидание                       0.0008                        
неощутимо                      0.0008                        
подъём                         0.0008                        
втягиваться                    0.0008                        
негативный                     0.0008                        
резонанс                       0.0008                        
сторонний                      0.0008                        
огнемёт                        0.0008                        
удовлетворить                  0.0008                        
приход                         0.0008                        
архаизм                        0.0008                        
вздёрнуть                      0.0008                        
псевдоним                      0.0008                        
сэр                            0.0008                        
престол                        0.0008                        
хобби                          0.0008                        
отвесить                       0.0008                        
подкоситься                    0.0008                        
очаровательно                  0.0008                        
закоренелый                    0.0008                        
циник                          0.0008                        
церемонный                     0.0008                        
несвоевременно                 0.0008                        
зажимать                       0.0008                        
юрисдикция                     0.0008                        
хорошенький                    0.0008                        
виртуоз                        0.0008                        
эмбриональный                  0.0008                        
беззащитность                  0.0008                        
сенсор                         0.0008                        
лаконичный                     0.0008                        
идиотизм                       0.0007                        
каблук                         0.0007                        
фотокуб                        0.0007                        
созерцать                      0.0007                        
граница                        0.0007                        
насчитываться                  0.0007                        
холодное                       0.0007                        
неон                           0.0007                        
метан                          0.0007                        
обитать                        0.0007                        
четыре                         0.0007                        
республика                     0.0007                        
империя                        0.0007                        
правление                      0.0007                        
укрепиться                     0.0007                        
мужчина                        0.0007                        
мочь                           0.0007                        
топнуть                        0.0007                        
твой                           0.0007                        
поцеловать                     0.0007                        
дань                           0.0007                        
молодой                        0.0007                        
рот                            0.0007                        
побледнеть                     0.0007                        
шёпот                          0.0007                        
известно                       0.0007                        
рассудительный                 0.0007                        
вернуть                        0.0007                        
недолго                        0.0007                        
последовательно                0.0007                        
поперхнуться                   0.0007                        
связываться                    0.0007                        
отгонять                       0.0007                        
перевести                      0.0007                        
выраженный                     0.0007                        
создавать                      0.0007                        
шпиль                          0.0007                        
отсутствовать                  0.0007                        
геометрический                 0.0007                        
абстракция                     0.0007                        
покои                          0.0007                        
диамагнетический               0.0007                        
раскачиваться                  0.0007                        
ветер                          0.0007                        
скомандовать                   0.0007                        
водоворот                      0.0007                        
коммутатор                     0.0007                        
неотъемлемый                   0.0007                        
фаррилл                        0.0007                        
прелестно                      0.0007                        
проникнуться                   0.0007                        
впечатлять                     0.0007                        
директория                     0.0007                        
окрепнуть                      0.0007                        
арест                          0.0007                        
аратап                         0.0007                        
скороговорка                   0.0007                        
проконсультироваться           0.0007                        
минуточка                      0.0007                        
недолгий                       0.0007                        
ловушка                        0.0007                        
безошибочно                    0.0007                        
кромешный                      0.0007                        
течение                        0.0006                        
прозвучать                     0.0006                        
творческий                     0.0006                        
рука                           0.0006                        
махнуть                        0.0006                        
чернота                        0.0006                        
завоевание                     0.0006                        
жестокость                     0.0006                        
корабль                        0.0006                        
пересечь                       0.0006                        
пригодный                      0.0006                        
организм                       0.0006                        
являться                       0.0006                        
жаркое                         0.0006                        
преимущественно                0.0006                        
соединение                     0.0006                        
кремний                        0.0006                        
кислота                        0.0006                        
третий                         0.0006                        
мир                            0.0006                        
судьба                         0.0006                        
экспансия                      0.0006                        
вторгнуться                    0.0006                        
сохраняться                    0.0006                        
стабильность                   0.0006                        
хенриады                       0.0006                        
счёт                           0.0006                        
полезный                       0.0006                        
неразумно                      0.0006                        
побрать                        0.0006                        
попытаться                     0.0006                        
прибавлять                     0.0006                        
понизиться                     0.0006                        
высокопоставленный             0.0006                        
именовать                      0.0006                        
зажать                         0.0006                        
жалобно                        0.0006                        
поступить                      0.0006                        
чаша                           0.0006                        
отойти                         0.0006                        
видео                          0.0006                        
ха                             0.0006                        
воспитывать                    0.0006                        
принцип                        0.0006                        
выдать                         0.0006                        
предъявить                     0.0006                        
хенриада                       0.0006                        
государство                    0.0006                        
бедный                         0.0006                        
вымолвить                      0.0006                        
подбежать                      0.0006                        
сместить                       0.0006                        
заточить                       0.0006                        
помахать                       0.0006                        
кошмарный                      0.0006                        
пролечь                        0.0006                        
шаг                            0.0006                        
кивнуть                        0.0006                        
рекомендательный               0.0006                        
выслушать                      0.0006                        
встряхнуть                     0.0006                        
вскочить                       0.0006                        
носитель                       0.0006                        
корона                         0.0006                        
провинциал                     0.0006                        
прекрасный                     0.0006                        
изящно                         0.0006                        
пик                            0.0006                        
здание                         0.0006                        
страж                          0.0006                        
управляемый                    0.0006                        
поместиться                    0.0006                        
пузырь                         0.0006                        
комплекс                       0.0006                        
отвориться                     0.0006                        
управлять                      0.0006                        
преминуть                      0.0006                        
предостеречь                   0.0006                        
давний                         0.0006                        
аристократический              0.0006                        
представиться                  0.0006                        
дядя                           0.0006                        
милочка                        0.0006                        
полушутливый                   0.0006                        
дружок                         0.0006                        
полусонный                     0.0006                        
деталь                         0.0006                        
неизвестный                    0.0006                        
изменник                       0.0006                        
невнятный                      0.0006                        
ой                             0.0006                        
толкать                        0.0006                        
побеспокоиться                 0.0006                        
продолжаться                   0.0006                        
минимум                        0.0006                        
инстинкт                       0.0006                        
подсказать                     0.0006                        
рассеять                       0.0006                        
вначале                        0.0006                        
заинтересованность             0.0006                        
голос                          0.0005                        
резко                          0.0005                        
осуществляться                 0.0005                        
орудие                         0.0005                        
вяло                           0.0005                        
щёлкнуть                       0.0005                        
задумчиво                      0.0005                        
сменяться                      0.0005                        
крыться                        0.0005                        
арктур                         0.0005                        
удовлетворять                  0.0005                        
ядовитый                       0.0005                        
наполнить                      0.0005                        
ирония                         0.0005                        
завоевать                      0.0005                        
развитие                       0.0005                        
регион                         0.0005                        
отличаться                     0.0005                        
планетарный                    0.0005                        
добиться                       0.0005                        
способствовать                 0.0005                        
правящий                       0.0005                        
обязательно                    0.0005                        
формально                      0.0005                        
седина                         0.0005                        
бровь                          0.0005                        
взбесить                       0.0005                        
потемнеть                      0.0005                        
беспрестанно                   0.0005                        
мой                            0.0005                        
надежда                        0.0005                        
вид                            0.0005                        
жест                           0.0005                        
чудовище                       0.0005                        
персона                        0.0005                        
особа                          0.0005                        
орган                          0.0005                        
толкнуть                       0.0005                        
спина                          0.0005                        
размахивать                    0.0005                        
палец                          0.0005                        
закрыть                        0.0005                        
переполнить                    0.0005                        
смелый                         0.0005                        
почесать                       0.0005                        
схватить                       0.0005                        
подписывать                    0.0005                        
контракт                       0.0005                        
упрямство                      0.0005                        
гневно                         0.0005                        
стыд                           0.0005                        
зрелый                         0.0005                        
соображение                    0.0005                        
внушить                        0.0005                        
вечность                       0.0005                        
причём                         0.0005                        
женатый                        0.0005                        
умереть                        0.0005                        
соответствующий                0.0005                        
неудивительный                 0.0005                        
бог                            0.0005                        
переубедить                    0.0005                        
назначать                      0.0005                        
распорядиться                  0.0005                        
дрожать                        0.0005                        
очередь                        0.0005                        
навлечь                        0.0005                        
отказ                          0.0005                        
продолжить                     0.0005                        
раздаться                      0.0005                        
звонить                        0.0005                        
майор                          0.0005                        
андрос                         0.0005                        
ужасный                        0.0005                        
оборвать                       0.0005                        
растерянность                  0.0005                        
вновь                          0.0005                        
понизить                       0.0005                        
послать                        0.0005                        
разом                          0.0005                        
светлый                        0.0005                        
конструкция                    0.0005                        
устремить                      0.0005                        
гость                          0.0005                        
задержаться                    0.0005                        
неведомый                      0.0005                        
величественный                 0.0005                        
зрелище                        0.0005                        
несложно                       0.0005                        
марионетка                     0.0005                        
безоружный                     0.0005                        
слева                          0.0005                        
стражник                       0.0005                        
правдивый                      0.0005                        
вознаградить                   0.0005                        
извне                          0.0005                        
дверной                        0.0005                        
проём                          0.0005                        
скользить                      0.0005                        
звучать                        0.0005                        
претендовать                   0.0005                        
ладный                         0.0005                        
услыхать                       0.0005                        
пришелец                       0.0005                        
титул                          0.0005                        
сунуть                         0.0005                        
петля                          0.0005                        
кузен                          0.0005                        
поздравлять                    0.0005                        
статус                         0.0005                        
юмор                           0.0005                        
править                        0.0005                        
хриплый                        0.0005                        
казнь                          0.0005                        
вдобавок                       0.0005                        
юридический                    0.0005                        
помедлить                      0.0005                        
жажда                          0.0005                        
одолевать                      0.0005                        
пятнадцать                     0.0005                        
фаза                           0.0005                        
восход                         0.0005                        
помещение                      0.0005                        
осмотреться                    0.0005                        
торжество                      0.0004                        
молчаливый                     0.0004                        
прервать                       0.0004                        
собираться                     0.0004                        
освободить                     0.0004                        
некоторый                      0.0004                        
вопрос                         0.0004                        
связывать                      0.0004                        
тайный                         0.0004                        
вовлечь                        0.0004                        
смелость                       0.0004                        
служить                        0.0004                        
пятый                          0.0004                        
необходимо                     0.0004                        
выйти                          0.0004                        
изображение                    0.0004                        
значительно                    0.0004                        
жестокий                       0.0004                        
удачный                        0.0004                        
ситуация                       0.0004                        
освоить                        0.0004                        
немногие                       0.0004                        
необходимый                    0.0004                        
существование                  0.0004                        
галактика                      0.0004                        
миллиард                       0.0004                        
звезда                         0.0004                        
пятьсот                        0.0004                        
достигать                      0.0004                        
многий                         0.0004                        
сплошь                         0.0004                        
углерод                        0.0004                        
сосредоточить                  0.0004                        
поселиться                     0.0004                        
повторяться                    0.0004                        
аналогичный                    0.0004                        
колонизировать                 0.0004                        
раствориться                   0.0004                        
маленький                      0.0004                        
территория                     0.0004                        
влиять                         0.0004                        
происходить                    0.0004                        
число                          0.0004                        
избрать                        0.0004                        
позиция                        0.0004                        
момент                         0.0004                        
шесть                          0.0004                        
лицо                           0.0004                        
повторять                      0.0004                        
несомненно                     0.0004                        
мать                           0.0004                        
талант                         0.0004                        
вещь                           0.0004                        
возможно                       0.0004                        
иметь                          0.0004                        
резкий                         0.0004                        
сбросить                       0.0004                        
поцелуй                        0.0004                        
дурно                          0.0004                        
неприятный                     0.0004                        
запах                          0.0004                        
слово                          0.0004                        
выглянуть                      0.0004                        
наружу                         0.0004                        
папа                           0.0004                        
слуга                          0.0004                        
затылок                        0.0004                        
сложить                        0.0004                        
погодить                       0.0004                        
подобный                       0.0004                        
государственный                0.0004                        
помнить                        0.0004                        
осторожно                      0.0004                        
трижды                         0.0004                        
жениться                       0.0004                        
могила                         0.0004                        
переменить                     0.0004                        
тюрьма                         0.0004                        
полгода                        0.0004                        
посадить                       0.0004                        
сперва                         0.0004                        
огорчить                       0.0004                        
брак                           0.0004                        
картина                        0.0004                        
оба                            0.0004                        
задумчивый                     0.0004                        
морщинка                       0.0004                        
звук                           0.0004                        
страх                          0.0004                        
решаться                       0.0004                        
дыхание                        0.0004                        
сюда                           0.0004                        
верно                          0.0004                        
еле                            0.0004                        
безопасно                      0.0004                        
устало                         0.0004                        
строение                       0.0004                        
вызвать                        0.0004                        
стройный                       0.0004                        
музыка                         0.0004                        
окно                           0.0004                        
украшение                      0.0004                        
некий                          0.0004                        
отражаться                     0.0004                        
подвести                       0.0004                        
тонкий                         0.0004                        
прочный                        0.0004                        
порыв                          0.0004                        
ударить                        0.0004                        
сдвинуться                     0.0004                        
входить                        0.0004                        
прозрачный                     0.0004                        
двинуться                      0.0004                        
попасть                        0.0004                        
питать                         0.0004                        
невыгодный                     0.0004                        
наблюдатель                    0.0004                        
открывать                      0.0004                        
