Term                           TF-IDF                        
генарра                        0.012                         
самолёт                        0.0073                        
эритро                         0.0063                        
марлен                         0.0057                        
юджиния                        0.0056                        
немезид                        0.0049                        
ротор                          0.0044                        
тессать                        0.0036                        
зивер                          0.0035                        
полёт                          0.0034                        
наблюдательный                 0.0034                        
площадка                       0.0032                        
астроном                       0.0029                        
крайла                         0.0028                        
робот                          0.0027                        
солнце                         0.0024                        
звезда                         0.0023                        
небосклон                      0.0022                        
поселение                      0.0022                        
ракетный                       0.0022                        
небо                           0.0021                        
танаям                         0.0021                        
станция                        0.002                         
астероид                       0.002                         
полусфера                      0.0018                        
зенит                          0.0018                        
испытание                      0.0018                        
гипермнестр                    0.0018                        
система                        0.0017                        
диск                           0.0017                        
чума                           0.0016                        
звёздный                       0.0016                        
яркий                          0.0016                        
корабль                        0.0016                        
неразгаданный                  0.0015                        
стекло                         0.0015                        
солнечный                      0.0015                        
мораль                         0.0015                        
дядя                           0.0015                        
сопровождать                   0.0014                        
повести                        0.0014                        
коропатский                    0.0014                        
воздушный                      0.0014                        
намного                        0.0013                        
кабина                         0.0013                        
атмосфера                      0.0013                        
полусонный                     0.0013                        
крайлом                        0.0013                        
роториана                      0.0013                        
западный                       0.0013                        
километр                       0.0013                        
пешком                         0.0013                        
река                           0.0013                        
океан                          0.0013                        
виновато                       0.0012                        
непрошеный                     0.0012                        
непосредственный               0.0012                        
холм                           0.0012                        
рисковать                      0.0011                        
задача                         0.0011                        
курс                           0.0011                        
полушарие                      0.0011                        
марлена                        0.001                         
прибор                         0.001                         
команда                        0.001                         
лифт                           0.001                         
практически                    0.001                         
удобный                        0.001                         
естественный                   0.001                         
поселенец                      0.001                         
разница                        0.001                         
обещание                       0.001                         
гора                           0.001                         
постепенно                     0.001                         
высота                         0.001                         
равнина                        0.001                         
ландшафт                       0.001                         
розовый                        0.001                         
малый                          0.0009                        
дождь                          0.0009                        
разглядеть                     0.0009                        
астрономия                     0.0009                        
воцариться                     0.0009                        
светило                        0.0009                        
исчезновение                   0.0009                        
рождение                       0.0009                        
перенести                      0.0009                        
помощник                       0.0009                        
ускорение                      0.0009                        
управление                     0.0009                        
оборот                         0.0009                        
сушить                         0.0009                        
берег                          0.0009                        
мигом                          0.0008                        
выздоравливать                 0.0008                        
кресло                         0.0008                        
обещать                        0.0008                        
поверхность                    0.0008                        
ничто                          0.0008                        
программа                      0.0008                        
графический                    0.0008                        
модель                         0.0008                        
взирать                        0.0008                        
безделица                      0.0008                        
непоставленный                 0.0008                        
головизор                      0.0008                        
раздражать                     0.0008                        
раздражаться                   0.0008                        
положительный                  0.0008                        
оказываться                    0.0008                        
приходиться                    0.0008                        
кориолис                       0.0008                        
юджинии                        0.0008                        
поцарапать                     0.0008                        
убеждаться                     0.0008                        
высыхать                       0.0008                        
налёт                          0.0008                        
смываться                      0.0008                        
моющий                         0.0008                        
неяркий                        0.0008                        
светильник                     0.0008                        
диаграмма                      0.0008                        
неповторимый                   0.0008                        
невесомый                      0.0008                        
девочка                        0.0008                        
тишина                         0.0008                        
благодатный                    0.0008                        
приходить                      0.0008                        
смещение                       0.0008                        
шумер                          0.0008                        
отпугивать                     0.0008                        
трудность                      0.0008                        
безжалостность                 0.0008                        
женственность                  0.0008                        
дряблый                        0.0008                        
преподнести                    0.0008                        
пританцовывать                 0.0008                        
благополучно                   0.0008                        
микроуровень                   0.0008                        
срыв                           0.0008                        
