Term                           TF-IDF                        
авардан                        0.021                         
шварц                          0.0138                        
шект                           0.0103                        
пол                            0.0038                        
пола                           0.0036                        
смерть                         0.0027                        
вирус                          0.0026                        
галактика                      0.0026                        
секретарь                      0.0022                        
слушайте                       0.0022                        
империя                        0.0021                        
заглянуть                      0.0021                        
землянин                       0.002                         
проговорить                    0.002                         
сириус                         0.002                         
синапсайфер                    0.0019                        
мысленный                      0.0019                        
бел                            0.0019                        
беспомощный                    0.0019                        
археолог                       0.0019                        
сера                           0.0018                        
сознание                       0.0018                        
оперировать                    0.0018                        
чужак                          0.0017                        
сумасшедший                    0.0017                        
шектом                         0.0017                        
прошлое                        0.0017                        
война                          0.0016                        
умирать                        0.0016                        
предательство                  0.0016                        
фосфор                         0.0015                        
бактериолог                    0.0015                        
выжить                         0.0015                        
охранник                       0.0015                        
временной                      0.0015                        
урановый                       0.0015                        
гнетущий                       0.0015                        
отчаяться                      0.0014                        
плита                          0.0014                        
атомный                        0.0014                        
планета                        0.0013                        
девушка                        0.0013                        
смесь                          0.0013                        
деспотизм                      0.0013                        
земля                          0.0012                        
намереваться                   0.0012                        
умереть                        0.0012                        
наместник                      0.0012                        
прокричать                     0.0012                        
страдание                      0.0012                        
необычайно                     0.0011                        
радиоактивный                  0.0011                        
зря                            0.0011                        
чей                            0.0011                        
ферма                          0.0011                        
язык                           0.0011                        
углерод                        0.001                         
мочь                           0.001                         
почувствовать                  0.001                         
стремление                     0.001                         
джозеф                         0.001                         
неожиданно                     0.001                         
дюйм                           0.001                         
упорно                         0.001                         
балкис                         0.001                         
ось                            0.001                         
бомба                          0.001                         
течение                        0.0009                        
переносить                     0.0009                        
знать                          0.0009                        
выговорить                     0.0009                        
слабо                          0.0009                        
цивилизация                    0.0009                        
пустота                        0.0009                        
лежать                         0.0009                        
чик                            0.0009                        
ощущать                        0.0009                        
обдумать                       0.0009                        
ум                             0.0009                        
смириться                      0.0009                        
дикий                          0.0009                        
труп                           0.0009                        
вновь                          0.0009                        
обработка                      0.0009                        
молчать                        0.0009                        
обречь                         0.0009                        
ох                             0.0009                        
мысленно                       0.0009                        
профессия                      0.0009                        
предатель                      0.0009                        
капля                          0.0008                        
правдивость                    0.0008                        
давление                       0.0008                        
отделить                       0.0008                        
оправданный                    0.0008                        
транториан                     0.0008                        
тирания                        0.0008                        
гражданин                      0.0008                        
врываться                      0.0008                        
воскликнуть                    0.0008                        
оглушать                       0.0008                        
твёрдый                        0.0008                        
зал                            0.0008                        
деяние                         0.0008                        
нежелание                      0.0008                        
ниша                           0.0008                        
санузел                        0.0008                        
тюремщик                       0.0008                        
скорлупа                       0.0008                        
расколоть                      0.0008                        
орех                           0.0008                        
политься                       0.0008                        
приговорить                    0.0008                        
благодарно                     0.0008                        
рассмотреть                    0.0008                        
взгромоздиться                 0.0008                        
жаль                           0.0008                        
ворочать                       0.0008                        
бледный                        0.0008                        
усталый                        0.0008                        
побудить                       0.0008                        
глухо                          0.0008                        
забрать                        0.0008                        
вряд                           0.0008                        
безобидность                   0.0008                        
мудрость                       0.0008                        
ожидание                       0.0008                        
коренастый                     0.0008                        
контактировать                 0.0008                        
деваллоу                       0.0008                        
галактографический             0.0008                        
опровергать                    0.0008                        
барий                          0.0008                        
пропорция                      0.0008                        
резонансный                    0.0008                        
плутониевый                    0.0008                        
озадаченно                     0.0008                        
пятидесятитысячелетный         0.0008                        
альф                           0.0008                        
броня                          0.0008                        
трещина                        0.0008                        
индивидуальность               0.0008                        
устояться                      0.0008                        
помешательство                 0.0008                        
обретать                       0.0008                        
трепетание                     0.0008                        
проваливаться                  0.0008                        
мясной                         0.0008                        
разделка                       0.0008                        
проконтролировать              0.0008                        
позвать                        0.0008                        
побеждать                      0.0008                        
саван                          0.0008                        
беспросветный                  0.0008                        
богоподобный                   0.0008                        
носительница                   0.0008                        
предавать                      0.0008                        
сотрудничать                   0.0008                        
замыслить                      0.0008                        
беронний                       0.0008                        
прилагать                      0.0008                        
нуклеопротеин                  0.0007                        
доктор                         0.0007                        
многократно                    0.0007                        
бактериологический             0.0007                        
сомнительно                    0.0007                        
выживание                      0.0007                        
опустошение                    0.0007                        
противоядие                    0.0007                        
капитуляция                    0.0007                        
врождённый                     0.0007                        
могущество                     0.0007                        
покачивать                     0.0007                        
отец                           0.0007                        
гараж                          0.0007                        
вход                           0.0007                        
заслонить                      0.0007                        
ордер                          0.0007                        
стена                          0.0007                        
суд                            0.0007                        
противозаконный                0.0007                        
жертва                         0.0007                        
приноситься                    0.0007                        
приток                         0.0007                        
вентиляционный                 0.0007                        
взъерошить                     0.0007                        
неудачно                       0.0007                        
распасться                     0.0007                        
часовой                        0.0007                        
доказательство                 0.0007                        
конечность                     0.0007                        
окаменеть                      0.0007                        
парить                         0.0007                        
мгновение                      0.0007                        
пересохлый                     0.0007                        
разрушить                      0.0007                        
заботиться                     0.0007                        
словесный                      0.0007                        
аппендикс                      0.0007                        
курносый                       0.0007                        
примитивный                    0.0007                        
энергия                        0.0007                        
вдоль                          0.0007                        
зафиксировать                  0.0007                        
создавать                      0.0007                        
променять                      0.0007                        
выдохнуть                      0.0007                        
понижение                      0.0007                        
микроток                       0.0007                        
чёрт                           0.0007                        
тушить                         0.0007                        
горячечный                     0.0007                        
следователь                    0.0007                        
ровный                         0.0007                        
умиротворённость               0.0007                        
герой                          0.0007                        
повелитель                     0.0007                        
правитель                      0.0007                        
отождествлять                  0.0007                        
меньшинство                    0.0007                        
добросердечный                 0.0007                        
замышлять                      0.0007                        
расселяться                    0.0007                        
экономика                      0.0007                        
передышка                      0.0007                        
подразумевать                  0.0006                        
обусловить                     0.0006                        
отравлять                      0.0006                        
адаптироваться                 0.0006                        
изотоп                         0.0006                        
проводиться                    0.0006                        
животное                       0.0006                        
незамеченный                   0.0006                        
химия                          0.0006                        
протеин                        0.0006                        
ощутить                        0.0006                        
затеять                        0.0006                        
одержать                       0.0006                        
ежедневно                      0.0006                        
грузовой                       0.0006                        
вспыхивать                     0.0006                        
производиться                  0.0006                        
немедленный                    0.0006                        
кучка                          0.0006                        
лидер                          0.0006                        
месть                          0.0006                        
поверить                       0.0006                        
открыться                      0.0006                        
накидка                        0.0006                        
нейроплеть                     0.0006                        
забарабанить                   0.0006                        
боль                           0.0006                        
исправление                    0.0006                        
рассматриваться                0.0006                        
поле                           0.0006                        
скамейка                       0.0006                        
странный                       0.0006                        
обильный                       0.0006                        
прут                           0.0006                        
стержень                       0.0006                        
дальнейший                     0.0006                        
поместиться                    0.0006                        
прозвучать                     0.0006                        
борьба                         0.0006                        
статуя                         0.0006                        
мысль                          0.0006                        
усмехаться                     0.0006                        
чушь                           0.0006                        
рассмеяться                    0.0006                        
равный                         0.0006                        
несправедливость               0.0006                        
всплыть                        0.0006                        
трудиться                      0.0006                        
вред                           0.0006                        
поразить                       0.0006                        
атака                          0.0006                        
вызывающе                      0.0006                        
имитация                       0.0006                        
бесконечность                  0.0006                        
идея                           0.0006                        
невозможный                    0.0006                        
геологический                  0.0006                        
справочник                     0.0006                        
определённый                   0.0006                        
сохранение                     0.0006                        
облучение                      0.0006                        
домой                          0.0006                        
обратиться                     0.0006                        
угу                            0.0006                        
эквивалентный                  0.0006                        
раскопка                       0.0006                        
давность                       0.0006                        
расшифровать                   0.0006                        
безразличие                    0.0006                        
