Term                           TF-IDF                        
сергей                         0.0205                        
петрович                       0.0169                        
варенька                       0.0121                        
васильич                       0.0095                        
мавр                           0.0092                        
тамарин                        0.0076                        
савишный                       0.0075                        
пван                           0.0064                        
рыбный                         0.0061                        
марья                          0.0054                        
барон                          0.0048                        
демон                          0.0046                        
пванович                       0.0045                        
чай                            0.004                         
сад                            0.0038                        
редькин                        0.0037                        
баронесса                      0.0036                        
володя                         0.0033                        
озеро                          0.0032                        
покойница                      0.003                         
джальма                        0.0027                        
фрак                           0.0026                        
приехать                       0.0025                        
деревня                        0.0023                        
любовь                         0.0022                        
подать                         0.0021                        
записка                        0.002                         
имение                         0.002                         
пгнатиевич                     0.002                         
хорошенький                    0.002                         
писать                         0.002                         
княгиня                        0.002                         
мол                            0.002                         
староста                       0.002                         
добрый                         0.002                         
чистить                        0.002                         
савишня                        0.002                         
конь                           0.002                         
петербург                      0.0018                        
ехать                          0.0018                        
поднос                         0.0018                        
матушка                        0.0017                        
гостиный                       0.0017                        
любить                         0.0017                        
ухаживать                      0.0017                        
любоваться                     0.0016                        
п                              0.0016                        
сельский                       0.0016                        
поехать                        0.0016                        
завод                          0.0016                        
покойный                       0.0016                        
ноготь                         0.0016                        
познакомиться                  0.0015                        
серебряный                     0.0015                        
фуражка                        0.0015                        
губернский                     0.0015                        
авдеев                         0.0014                        
возвратиться                   0.0014                        
ездить                         0.0014                        
московский                     0.0014                        
послушаться                    0.0014                        
терентий                       0.0014                        
отчий                          0.0014                        
винокуренный                   0.0014                        
куцый                          0.0014                        
гербовый                       0.0014                        
попов                          0.0014                        
ветчина                        0.0014                        
надуть                         0.0014                        
пуля                           0.0014                        
словцо                         0.0014                        
капиталец                      0.0014                        
чрез                           0.0014                        
записочка                      0.0014                        
непозволительный               0.0014                        
хомут                          0.0014                        
видывать                       0.0014                        
седок                          0.0014                        
шутя                           0.0014                        
дочка                          0.0014                        
полтораста                     0.0014                        
безвыездно                     0.0014                        
гувернантка                    0.0014                        
toute                          0.0014                        
брамбеус                       0.0014                        
четверг                        0.0014                        
курить                         0.0013                        
гордый                         0.0013                        
серый                          0.0013                        
мальчик                        0.0013                        
чулок                          0.0013                        
верхом                         0.0013                        
влюбиться                      0.0013                        
наденёк                        0.0013                        
уехать                         0.0013                        
сосед                          0.0012                        
франт                          0.0012                        
анна                           0.0012                        
нужда                          0.0012                        
отставной                      0.0012                        
берег                          0.0012                        
извиняться                     0.0012                        
уверять                        0.0012                        
бывало                         0.0012                        
брат                           0.0012                        
стройный                       0.0012                        
маменька                       0.0012                        
варвар                         0.0012                        
александрович                  0.0012                        
поболтать                      0.0012                        
б                              0.0011                        
странный                       0.0011                        
позавтракать                   0.0011                        
тарантас                       0.0011                        
внук                           0.0011                        
поручик                        0.0011                        
отвечать                       0.0011                        
подъехать                      0.0011                        
сюртук                         0.0011                        
бог                            0.0011                        
сказывать                      0.0011                        
неразлучный                    0.0011                        
изорвать                       0.0011                        
портрет                        0.0011                        
голосок                        0.0011                        
терраса                        0.0011                        
батюшка                        0.0011                        
пмшина                         0.0011                        
картинка                       0.001                         
нечего                         0.001                         
коричневый                     0.001                         
курчавый                       0.001                         
аллея                          0.001                         
одетый                         0.001                         
поклониться                    0.001                         
умный                          0.001                         
удивительно                    0.001                         
грош                           0.001                         
обыкновение                    0.001                         
поутру                         0.001                         
птак                           0.001                         
пить                           0.001                         
чудесный                       0.001                         
бумажка                        0.001                         
соседка                        0.001                         
написать                       0.001                         
тоненький                      0.001                         
малое                          0.001                         
этакий                         0.001                         
прозвать                       0.001                         
комплимент                     0.001                         
ужинать                        0.001                         
кричать                        0.0009                        
велеть                         0.0009                        
старость                       0.0009                        
русский                        0.0009                        
превосходство                  0.0009                        
душа                           0.0009                        
чрезвычайно                    0.0009                        
недурной                       0.0009                        
грациозный                     0.0009                        
везти                          0.0009                        
чистый                         0.0009                        
купить                         0.0009                        
очки                           0.0009                        
любящий                        0.0009                        
ба                             0.0009                        
отставка                       0.0009                        
букет                          0.0009                        
исполнить                      0.0009                        
весна                          0.0008                        
домашний                       0.0008                        
жена                           0.0008                        
знакомый                       0.0008                        
господь                        0.0008                        
каков                          0.0008                        
достаться                      0.0008                        
дом                            0.0008                        
надеть                         0.0008                        
городской                      0.0008                        
крошечный                      0.0008                        
дурак                          0.0008                        
уста                           0.0008                        
ум                             0.0008                        
папироса                       0.0008                        
