Term                           TF-IDF                        
юджиния                        0.0159                        
крайла                         0.0122                        
питта                          0.0057                        
ротор                          0.0055                        
марлен                         0.0041                        
зонд                           0.0039                        
гражданство                    0.0039                        
референдум                     0.0038                        
поселение                      0.0035                        
гиперсодействие                0.0031                        
ребёнок                        0.0028                        
муж                            0.0025                        
система                        0.0024                        
солнечный                      0.0023                        
немезид                        0.0022                        
дальний                        0.0022                        
межзвёздный                    0.0021                        
выгнать                        0.002                         
землянин                       0.0019                        
роториана                      0.0019                        
путешествие                    0.0019                        
земля                          0.0018                        
иммиграция                     0.0018                        
иммиграционный                 0.0018                        
юджинии                        0.0018                        
проект                         0.0018                        
выслать                        0.0018                        
открытие                       0.0017                        
кухня                          0.0017                        
переселиться                   0.0016                        
коллега                        0.0016                        
обеззараживание                0.0015                        
необразованный                 0.0015                        
позорный                       0.0015                        
сторонница                     0.0015                        
астроном                       0.0015                        
страшиться                     0.0015                        
голодать                       0.0015                        
поздний                        0.0014                        
ближний                        0.0014                        
пузырь                         0.0014                        
экологический                  0.0013                        
крайлом                        0.0013                        
смягчить                       0.0013                        
ураган                         0.0013                        
эксперимент                    0.0013                        
любимый                        0.0012                        
получение                      0.0012                        
фишер                          0.0012                        
родиться                       0.0012                        
звезда                         0.0012                        
переселение                    0.0012                        
повышение                      0.0012                        
рискованный                    0.0012                        
втайне                         0.0011                        
обсуждение                     0.0011                        
рассказывать                   0.0011                        
комиссар                       0.0011                        
уход                           0.0011                        
нищета                         0.0011                        
полететь                       0.0011                        
ореол                          0.001                         
целеустремлённый               0.001                         
мужественность                 0.001                         
аспирантка                     0.001                         
вводиться                      0.001                         
гарантироваться                0.001                         
баланс                         0.001                         
процедура                      0.001                         
зарабатывать                   0.001                         
обручение                      0.001                         
бракосочетание                 0.001                         
самообразование                0.001                         
разуметься                     0.001                         
вставлять                      0.001                         
замечание                      0.001                         
стремление                     0.001                         
возмущаться                    0.001                         
мелочность                     0.001                         
несогласие                     0.001                         
фильм                          0.001                         
будни                          0.001                         
похвастать                     0.001                         
жестянщик                      0.001                         
аморальный                     0.001                         
оттачивать                     0.001                         
вслух                          0.001                         
повторно                       0.001                         
никой                          0.001                         
подучить                       0.001                         
скученность                    0.001                         
ожесточённость                 0.001                         
микрофлора                     0.001                         
микрофауна                     0.001                         
посредством                    0.001                         
пояс                           0.001                         
околопланетный                 0.001                         
зародыш                        0.001                         
разобщить                      0.001                         
взаимопонимание                0.001                         
дочь                           0.001                         
неизгладимый                   0.001                         
претендент                     0.001                         
злорадствовать                 0.001                         
вероломство                    0.001                         
энтузиаст                      0.001                         
незнаемый                      0.001                         
самум                          0.001                         
метель                         0.001                         
мистраль                       0.001                         
жарко                          0.001                         
возлагать                      0.001                         
манеж                          0.001                         
дочурка                        0.001                         
вознаградить                   0.001                         
выдвинуть                      0.001                         
упорный                        0.001                         
завистливый                    0.001                         
безопасно                      0.001                         
глазёнки                       0.001                         
затхлый                        0.001                         
вонючий                        0.001                         
отнять                         0.001                         
заживо                         0.001                         
упрашивать                     0.001                         
прогнать                       0.001                         
утаивать                       0.001                         
сбежать                        0.0009                        
мочь                           0.0009                        
астрономия                     0.0009                        
знать                          0.0009                        
тайна                          0.0009                        
рождение                       0.0009                        
общественный                   0.0009                        
жениться                       0.0009                        
счастливый                     0.0009                        
задавать                       0.0009                        
питтом                         0.0009                        
уверить                        0.0009                        
соглашаться                    0.0009                        
страдание                      0.0009                        
астероид                       0.0009                        
пост                           0.0009                        
проснуться                     0.0009                        
мама                           0.0008                        
специализироваться             0.0008                        
безумно                        0.0008                        
ради                           0.0008                        
комфортабельный                0.0008                        
прекращение                    0.0008                        
прилетать                      0.0008                        
обязать                        0.0008                        
сетовать                       0.0008                        
обязательный                   0.0008                        
невнимательный                 0.0008                        
недоумевать                    0.0008                        
крайле                         0.0008                        
возвышать                      0.0008                        
радость                        0.0008                        
роторианка                     0.0008                        
расстроиться                   0.0008                        
жена                           0.0008                        
изредка                        0.0008                        
гражданин                      0.0008                        
образование                    0.0008                        
осадить                        0.0008                        
подшутить                      0.0008                        
ответственный                  0.0008                        
переживать                     0.0008                        
полушутливо                    0.0008                        
административный               0.0008                        
расценить                      0.0008                        
вынудить                       0.0008                        
напрасный                      0.0008                        
значащий                       0.0008                        
медовый                        0.0008                        
секретный                      0.0008                        
удержаться                     0.0008                        
шепнуть                        0.0008                        
засекречивание                 0.0008                        
поиграть                       0.0008                        
недолгий                       0.0008                        
совместный                     0.0008                        
авантюра                       0.0008                        
неэтичный                      0.0008                        
сразиться                      0.0008                        
неопровержимый                 0.0008                        
абсолютно                      0.0008                        
возлагаться                    0.0008                        
перешагнуть                    0.0008                        
оплата                         0.0008                        
пыл                            0.0008                        
оборонительный                 0.0008                        
расстаться                     0.0008                        
заколебаться                   0.0008                        
рекомендовать                  0.0008                        
ужасающий                      0.0008                        
наркотик                       0.0008                        
занесение                      0.0008                        
стерилизовать                  0.0008                        
околомарсовый                  0.0008                        
улетучиваться                  0.0008                        
отправиться                    0.0008                        
очаровать                      0.0008                        
возиться                       0.0008                        
навсегда                       0.0008                        
патриотизм                     0.0008                        
просочиться                    0.0008                        
одобрение                      0.0008                        
распространиться               0.0008                        
разрыв                         0.0008                        
глыба                          0.0008                        
лёд                            0.0008                        
проливный                      0.0008                        
завывать                       0.0008                        
бодрость                       0.0008                        
отправлять                     0.0008                        
продовольствие                 0.0008                        
прорезаться                    0.0008                        
вверху                         0.0008                        
переступать                    0.0008                        
ножка                          0.0008                        
компенсировать                 0.0008                        
фальсифицировать               0.0008                        
скривиться                     0.0008                        
сбавить                        0.0008                        
смягчиться                     0.0008                        
голосовать                     0.0008                        
врасплох                       0.0008                        
неверность                     0.0008                        
политикан                      0.0008                        
рваться                        0.0008                        
политик                        0.0008                        
обсерватория                   0.0008                        
недоступный                    0.0008                        
детище                         0.0008                        
истощиться                     0.0008                        
дик                            0.0008                        
недостроенный                  0.0008                        
категорично                    0.0008                        
небытие                        0.0008                        
осложнение                     0.0008                        
сохранение                     0.0008                        
затеять                        0.0008                        
прикасаться                    0.0008                        
разлагаться                    0.0008                        
переночевать                   0.0008                        
разболтать                     0.0008                        
унести                         0.0008                        
постыдный                      0.0008                        
немигающий                     0.0008                        
увезти                         0.0008                        
спустя                         0.0007                        
высокий                        0.0007                        
роторианина                    0.0007                        
определённый                   0.0007                        
полагаться                     0.0007                        
скула                          0.0007                        
внешне                         0.0007                        
сразу                          0.0007                        
покорить                       0.0007                        
рассчитывать                   0.0007                        
смятение                       0.0007                        
прилететь                      0.0007                        
передвижение                   0.0007                        
замыкаться                     0.0007                        
покинуть                       0.0007                        
свысока                        0.0007                        
положение                      0.0007                        
основание                      0.0007                        
польстить                      0.0007                        
хватать                        0.0007                        
польза                         0.0007                        
винить                         0.0007                        
недюжинный                     0.0007                        
ферма                          0.0007                        
увы                            0.0007                        
спрашивать                     0.0007                        
интересоваться                 0.0007                        
демонстрировать                0.0007                        
соблазн                        0.0007                        
касаться                       0.0007                        
материал                       0.0007                        
косвенный                      0.0007                        
упоминаться                    0.0007                        
учебник                        0.0007                        
догадаться                     0.0007                        
возражать                      0.0007                        
ступень                        0.0007                        
социальный                     0.0007                        
обеспечить                     0.0007                        
джэйнус                        0.0007                        
навязывать                     0.0007                        
бездна                         0.0007                        
удивляться                     0.0007                        
поражать                       0.0007                        
осуществляться                 0.0007                        
груз                           0.0007                        
натянутый                      0.0007                        
полёт                          0.0007                        
деградировать                  0.0007                        
повезти                        0.0007                        
отсрочка                       0.0007                        
марлена                        0.0007                        
заботливый                     0.0007                        
воспитание                     0.0007                        
улучшиться                     0.0007                        
предстоящий                    0.0007                        
проголосовать                  0.0007                        
пропаганда                     0.0007                        
пронизывать                    0.0007                        
разнообразить                  0.0007                        
транспорт                      0.0007                        
неотрывно                      0.0007                        
выкрикнуть                     0.0007                        
голосование                    0.0007                        
недвусмысленно                 0.0007                        
сработать                      0.0007                        
специалист                     0.0007                        
умирающий                      0.0007                        
болтаться                      0.0007                        
охраняться                     0.0007                        
переполнять                    0.0007                        
умолять                        0.0007                        
неисправимый                   0.0007                        
любить                         0.0007                        
возмущённо                     0.0007                        
отец                           0.0006                        
речь                           0.0006                        
сантиметр                      0.0006                        
преимущество                   0.0006                        
признаваться                   0.0006                        
выразительный                  0.0006                        
автор                          0.0006                        
разрешение                     0.0006                        
строгий                        0.0006                        
численность                    0.0006                        
житель                         0.0006                        
утомительный                   0.0006                        
изоляция                       0.0006                        
смертельно                     0.0006                        
осмеливаться                   0.0006                        
бюро                           0.0006                        
особый                         0.0006                        
страстный                      0.0006                        
любовник                       0.0006                        
свадьба                        0.0006                        
формально                      0.0006                        
закрытый                       0.0006                        
сфера                          0.0006                        
технический                    0.0006                        
поначалу                       0.0006                        
мимолётный                     0.0006                        
продемонстрировать             0.0006                        
человечество                   0.0006                        
горячий                        0.0006                        
цивилизация                    0.0006                        
возражение                     0.0006                        
аргумент                       0.0006                        
инициатива                     0.0006                        
просматривать                  0.0006                        
руководство                    0.0006                        
узнавать                       0.0006                        
стыд                           0.0006                        
охладить                       0.0006                        
переубедить                    0.0006                        
помимо                         0.0006                        
миллиард                       0.0006                        
голод                          0.0006                        
замкнутый                      0.0006                        
торговля                       0.0006                        
вяло                           0.0006                        
презирать                      0.0006                        
идея                           0.0006                        
поздравить                     0.0006                        
перенаселить                   0.0006                        
поползти                       0.0006                        
ранее                          0.0006                        
высказываться                  0.0006                        
сдержанно                      0.0006                        
перемещение                    0.0006                        
блуждать                       0.0006                        
вне                            0.0006                        
жилище                         0.0006                        
романтический                  0.0006                        
нравиться                      0.0006                        
дождь                          0.0006                        
неуверенно                     0.0006                        
стенка                         0.0006                        
необычайно                     0.0006                        
побелеть                       0.0006                        
подтвердить                    0.0006                        
возмутиться                    0.0006                        
опытный                        0.0006                        
клонить                        0.0006                        
существо                       0.0006                        
допрос                         0.0006                        
торжественно                   0.0006                        
полечить                       0.0006                        
спор                           0.0006                        
равновесие                     0.0006                        
оправдывать                    0.0006                        
переслать                      0.0006                        
странность                     0.0006                        
запретный                      0.0006                        
словно                         0.0005                        
решить                         0.0005                        
выступать                      0.0005                        
независимый                    0.0005                        
готовый                        0.0005                        
правило                        0.0005                        
достигать                      0.0005                        
условие                        0.0005                        
отчаянный                      0.0005                        
важный                         0.0005                        
дело                           0.0005                        
ограничиваться                 0.0005                        
посетитель                     0.0005                        
скорый                         0.0005                        
долгий                         0.0005                        
рада                           0.0005                        
скрыться                       0.0005                        
передвигаться                  0.0005                        
постоянный                     0.0005                        
надежда                        0.0005                        
чужак                          0.0005                        
враждебный                     0.0005                        
победить                       0.0005                        
занять                         0.0005                        
любовь                         0.0005                        
длительный                     0.0005                        
назвать                        0.0005                        
проявляться                    0.0005                        
грубый                         0.0005                        
жестокий                       0.0005                        
удовлетворить                  0.0005                        
отличие                        0.0005                        
терпеливо                      0.0005                        
выслушивать                    0.0005                        
рассказ                        0.0005                        
свидетельствовать              0.0005                        
приличный                      0.0005                        
гарантировать                  0.0005                        
жаловаться                     0.0005                        
неизменно                      0.0005                        
раздражить                     0.0005                        
научиться                      0.0005                        
избегать                       0.0005                        
разговор                       0.0005                        
признать                       0.0005                        
опасение                       0.0005                        
неуверенность                  0.0005                        
проявлять                      0.0005                        
роторианский                   0.0005                        
воцариться                     0.0005                        
молчание                       0.0005                        
прерывать                      0.0005                        
участник                       0.0005                        
секрет                         0.0005                        
откровенность                  0.0005                        
интересно                      0.0005                        
фермер                         0.0005                        
раз                            0.0005                        
упомянуть                      0.0005                        
вплоть                         0.0005                        
искренний                      0.0005                        
негодование                    0.0005                        
перспектива                    0.0005                        
безопасность                   0.0005                        
твёрдо                         0.0005                        
высказать                      0.0005                        
открыть                        0.0005                        
изучать                        0.0005                        
участок                        0.0005                        
ответственность                0.0005                        
устраивать                     0.0005                        
забиться                       0.0005                        
основный                       0.0005                        
направляться                   0.0005                        
немногие                       0.0005                        
инстинктивно                   0.0005                        
позиция                        0.0005                        
препятствие                    0.0005                        
из                             0.0005                        
психический                    0.0005                        
чуждый                         0.0005                        
автоматический                 0.0005                        
недоверие                      0.0005                        
строительство                  0.0005                        
мир                            0.0005                        
энтузиазм                      0.0005                        
невозмутимый                   0.0005                        
полтора                        0.0005                        
удачно                         0.0005                        
безнадёжно                     0.0005                        
предположить                   0.0005                        
слух                           0.0005                        
намереваться                   0.0005                        
паника                         0.0005                        
обвинение                      0.0005                        
замедлить                      0.0005                        
подготовка                     0.0005                        
перелёт                        0.0005                        
всеобщий                       0.0005                        
доброволец                     0.0005                        
нахмурить                      0.0005                        
безумие                        0.0005                        
среди                          0.0005                        
склоняться                     0.0005                        
предвидеть                     0.0005                        
снег                           0.0005                        
некрасивый                     0.0005                        
нежно                          0.0005                        
потеря                         0.0005                        
разбудить                      0.0005                        
бессмысленно                   0.0005                        
рассердиться                   0.0005                        
преданность                    0.0005                        
защищаться                     0.0005                        
реагировать                    0.0005                        
проводить                      0.0005                        
уверять                        0.0005                        
прищуриться                    0.0005                        
твой                           0.0005                        
