Term                           TF-IDF                        
тамарин                        0.0138                        
мариона                        0.0138                        
фёдор                          0.0068                        
фёдорович                      0.0068                        
варенька                       0.0039                        
п                              0.0035                        
пван                           0.0028                        
островский                     0.0027                        
молоденький                    0.0025                        
камин                          0.0022                        
талант                         0.0022                        
папироса                       0.002                         
чай                            0.002                         
поклонник                      0.002                         
ложиться                       0.0018                        
амплуа                         0.0018                        
пвановый                       0.0018                        
дорожный                       0.0017                        
молодёжь                       0.0016                        
бал                            0.0016                        
любить                         0.0015                        
вкус                           0.0015                        
клуб                           0.0015                        
прелесть                       0.0015                        
скучать                        0.0015                        
воротиться                     0.0015                        
однообразный                   0.0015                        
кузьмич                        0.0015                        
владимир                       0.0015                        
пваныч                         0.0015                        
пристально                     0.0014                        
отчий                          0.0014                        
оттого                         0.0014                        
грациозный                     0.0014                        
хорошенький                    0.0014                        
деревня                        0.0013                        
деревянный                     0.0013                        
манер                          0.0013                        
прошлое                        0.0013                        
ба                             0.0013                        
отвечать                       0.0013                        
здешний                        0.0013                        
приезжать                      0.0013                        
иванов                         0.0012                        
любовь                         0.0012                        
отдыхать                       0.0012                        
платье                         0.0012                        
лето                           0.0012                        
бездарность                    0.0012                        
недокуренный                   0.0012                        
недопить                       0.0012                        
роман                          0.0012                        
простенький                    0.0012                        
утомиться                      0.0012                        
порошить                       0.0012                        
институтка                     0.0012                        
снег                           0.0011                        
отвесный                       0.0011                        
натура                         0.0011                        
ярко                           0.0011                        
подкрепить                     0.0011                        
приехать                       0.0011                        
видеться                       0.0011                        
усталый                        0.0011                        
заставать                      0.0011                        
раут                           0.0011                        
досуг                          0.0011                        
светский                       0.0011                        
эпизод                         0.0011                        
набережная                     0.001                         
угол                           0.001                         
разгораться                    0.001                         
пальто                         0.001                         
год                            0.001                         
выпасть                        0.001                         
прибавить                      0.001                         
занимательный                  0.001                         
женщина                        0.001                         
сигара                         0.001                         
печать                         0.001                         
утомлённый                     0.001                         
свыкнуться                     0.001                         
танцующий                      0.001                         
обыденный                      0.001                         
живописно                      0.001                         
прихотливый                    0.001                         
развлечь                       0.001                         
надзор                         0.001                         
поворот                        0.0009                        
внутренний                     0.0009                        
воображение                    0.0009                        
знакомый                       0.0009                        
город                          0.0009                        
избитый                        0.0009                        
огонь                          0.0009                        
очертание                      0.0009                        
случаться                      0.0009                        
длинный                        0.0009                        
нынче                          0.0009                        
деловой                        0.0009                        
муж                            0.0009                        
возбуждать                     0.0009                        
выводить                       0.0009                        
оживиться                      0.0009                        
букет                          0.0009                        
насмешливо                     0.0009                        
рисоваться                     0.0009                        
позволение                     0.0009                        
завтра                         0.0008                        
дорога                         0.0008                        
цветок                         0.0008                        
передний                       0.0008                        
морщина                        0.0008                        
насмешливый                    0.0008                        
простой                        0.0008                        
лениво                         0.0008                        
ряд                            0.0008                        
трудный                        0.0008                        
князь                          0.0008                        
покойный                       0.0008                        
пробыть                        0.0008                        
добрый                         0.0008                        
бывало                         0.0008                        
ход                            0.0008                        
дым                            0.0008                        
