Term                           TF-IDF                        
артемида                       0.0118                        
джилберт                       0.0114                        
байрон                         0.0113                        
аратапа                        0.0095                        
хенрик                         0.0056                        
майор                          0.0056                        
тираниец                       0.005                         
солдат                         0.0048                        
охранник                       0.0044                        
капитан                        0.0037                        
дворец                         0.0037                        
судно                          0.0035                        
родий                          0.0035                        
хан                            0.0032                        
корабль                        0.003                         
башня                          0.0029                        
тирания                        0.0028                        
вайдемос                       0.0027                        
превосходительство             0.0027                        
фаррилла                       0.0025                        
тиранийский                    0.0025                        
королевский                    0.0024                        
правитель                      0.0023                        
арест                          0.0022                        
пилот                          0.0021                        
хлыст                          0.0018                        
петушок                        0.0018                        
массометр                      0.0018                        
еда                            0.0018                        
пищевой                        0.0018                        
метеор                         0.0018                        
господин                       0.0015                        
джил                           0.0015                        
дворцовый                      0.0015                        
родийский                      0.0015                        
высадить                       0.0015                        
предназначаться                0.0015                        
залить                         0.0014                        
обшивка                        0.0014                        
невозможность                  0.0014                        
страж                          0.0013                        
представитель                  0.0013                        
охрана                         0.0013                        
арестовать                     0.0013                        
мальчишка                      0.0013                        
тревога                        0.0013                        
судный                         0.0013                        
чертовый                       0.0013                        
концентрат                     0.0013                        
мириться                       0.0013                        
кабина                         0.0013                        
приоткрыть                     0.0012                        
дверь                          0.0012                        
ночной                         0.0012                        
услуга                         0.0012                        
два                            0.0012                        
одолеть                        0.0012                        
неинтересный                   0.0012                        
андрос                         0.0012                        
вода                           0.0012                        
болван                         0.0012                        
показание                      0.0012                        
жажда                          0.0012                        
выждать                        0.0011                        
юноша                          0.0011                        
член                           0.0011                        
центральный                    0.0011                        
беспощадность                  0.0011                        
приспособить                   0.0011                        
космический                    0.001                         
растерянно                     0.001                         
переодеться                    0.001                         
наряд                          0.001                         
семья                          0.001                         
проанализировать               0.001                         
поворот                        0.001                         
похитить                       0.001                         
посёлок                        0.001                         
пустынный                      0.001                         
выбраться                      0.001                         
улетать                        0.001                         
шутить                         0.0009                        
пост                           0.0009                        
оружие                         0.0009                        
сперва                         0.0009                        
дядя                           0.0009                        
эй                             0.0009                        
ванная                         0.0009                        
зеркало                        0.0009                        
использоваться                 0.0009                        
взлёт                          0.0009                        
выпрямиться                    0.0009                        
болеть                         0.0009                        
сбить                          0.0009                        
сосредоточиться                0.0009                        
объявить                       0.0009                        
отбросить                      0.0009                        
госпожа                        0.0009                        
покинуть                       0.0009                        
суметь                         0.0009                        
характер                       0.0009                        
управление                     0.0009                        
скорость                       0.0009                        
длительный                     0.0009                        
кусочек                        0.0009                        
каюта                          0.0009                        
неуместно                      0.0008                        
кнопка                         0.0008                        
приятно                        0.0008                        
неразумный                     0.0008                        
отворять                       0.0008                        
просвечиваться                 0.0008                        
трещинка                       0.0008                        
позвать                        0.0008                        
го                             0.0008                        
подавиться                     0.0008                        
запах                          0.0008                        
мыло                           0.0008                        
высушиться                     0.0008                        
маловатый                      0.0008                        
хлыстовый                      0.0008                        
пальчик                        0.0008                        
сумка                          0.0008                        
намагнитить                    0.0008                        
пошевеливаться                 0.0008                        
переломать                     0.0008                        
влить                          0.0008                        
верх                           0.0008                        
оповещение                     0.0008                        
хватиться                      0.0008                        
мечтать                        0.0008                        
известно                       0.0008                        
прошествовать                  0.0008                        
прямиком                       0.0008                        
масса                          0.0008                        
лётный                         0.0008                        
дерево                         0.0008                        
ожидаться                      0.0008                        
двинуться                      0.0008                        
прятаться                      0.0008                        
эскортировать                  0.0008                        
заседать                       0.0008                        
поверка                        0.0008                        
вполуха                        0.0008                        
отстранённо                    0.0008                        
сын                            0.0008                        
попытаться                     0.0008                        
несимпатичный                  0.0008                        
бунтовать                      0.0008                        
зевок                          0.0008                        
помогать                       0.0008                        
удивлённый                     0.0008                        
смешиваться                    0.0008                        
суховатый                      0.0008                        
осиный                         0.0008                        
олух                           0.0008                        
мнить                          0.0008                        
образование                    0.0008                        
управлять                      0.0008                        
логически                      0.0008                        
спасти                         0.0008                        
прослушать                     0.0008                        
курс                           0.0008                        
семестр                        0.0008                        
износиться                     0.0008                        
вжать                          0.0008                        
онеметь                        0.0008                        
постанывать                    0.0008                        
накалиться                     0.0008                        
непростительный                0.0008                        
путешествие                    0.0008                        
запастись                      0.0008                        
незаселённый                   0.0008                        
саузвок                        0.0008                        
густонаселённый                0.0008                        
провизия                       0.0008                        
выверить                       0.0008                        
минеральный                    0.0008                        
брикет                         0.0008                        
концентрированный              0.0008                        
раздражённость                 0.0008                        
неустанно                      0.0008                        
омерзительный                  0.0008                        
нехватка                       0.0008                        
раздельный                     0.0008                        
спальный                       0.0008                        
тяготить                       0.0008                        
умывальная                     0.0008                        
безводный                      0.0008                        
утоление                       0.0008                        
знакомиться                    0.0008                        
ночевать                       0.0008                        
укорить                        0.0008                        
проектировать                  0.0008                        
дождаться                      0.0008                        
расколоться                    0.0008                        
горожанин                      0.0008                        
коронация                      0.0008                        
растрепать                     0.0008                        
жакет                          0.0008                        
блузка                         0.0008                        
сорокавосьмичасовый            0.0008                        
обуздать                       0.0008                        
командование                   0.0008                        
подчинить                      0.0008                        
разрубить                      0.0008                        
нетерпеливо                    0.0007                        
перебить                       0.0007                        
коридор                        0.0007                        
спусковой                      0.0007                        
гардеробный                    0.0007                        
выдохнуть                      0.0007                        
шёпотом                        0.0007                        
облачиться                     0.0007                        
прошептать                     0.0007                        
страх                          0.0007                        
связать                        0.0007                        
обезоружить                    0.0007                        
умиротворяюще                  0.0007                        
витать                         0.0007                        
душ                            0.0007                        
форменный                      0.0007                        
критически                     0.0007                        
предоставить                   0.0007                        
внезапно                       0.0007                        
обшаривать                     0.0007                        
низкий                         0.0007                        
прозевать                      0.0007                        
нависать                       0.0007                        
посадка                        0.0007                        
вооружённый                    0.0007                        
явственно                      0.0007                        
раздражение                    0.0007                        
захватить                      0.0007                        
планета                        0.0007                        
исполнительный                 0.0007                        
прислуга                       0.0007                        
количество                     0.0007                        
крайне                         0.0007                        
просиять                       0.0007                        
заключить                      0.0007                        
приказать                      0.0007                        
часовой                        0.0007                        
казарма                        0.0007                        
пейзаж                         0.0007                        
продолжить                     0.0007                        
конспиратор                    0.0007                        
птичка                         0.0007                        
пробка                         0.0007                        
неузнанный                     0.0007                        
разрешиться                    0.0007                        
повезти                        0.0007                        
космонавигация                 0.0007                        
академический                  0.0007                        
вконец                         0.0007                        
преодоление                    0.0007                        
манипулировать                 0.0007                        
удалённость                    0.0007                        
плацдарм                       0.0007                        
местопребывание                0.0007                        
бунтовщик                      0.0007                        
калория                        0.0007                        
вкусовой                       0.0007                        
военный                        0.0007                        
предусматриваться              0.0007                        
уединиться                     0.0007                        
концентрировать                0.0007                        
жидкость                       0.0007                        
химически                      0.0007                        
оператор                       0.0007                        
драматизировать                0.0007                        
распахнуться                   0.0007                        
папаша                         0.0007                        
отец                           0.0007                        
завизжать                      0.0007                        
вернуть                        0.0007                        
империя                        0.0007                        
уменьшать                      0.0007                        
белоснежный                    0.0007                        
ношение                        0.0007                        
военачальник                   0.0007                        
рикошетом                      0.0007                        
бедствие                       0.0007                        
козырнуть                      0.0006                        
пара                           0.0006                        
слегка                         0.0006                        
расставить                     0.0006                        
мускулистый                    0.0006                        
прекрасный                     0.0006                        
приходиться                    0.0006                        
ой                             0.0006                        
двойка                         0.0006                        
юбка                           0.0006                        
произвести                     0.0006                        
загадочно                      0.0006                        
джила                          0.0006                        
отвориться                     0.0006                        
упасть                         0.0006                        
захлопнуть                     0.0006                        
сострадание                    0.0006                        
упавший                        0.0006                        
подсказать                     0.0006                        
умыться                        0.0006                        
вымыться                       0.0006                        
полотенце                      0.0006                        
форма                          0.0006                        
оставлять                      0.0006                        
выдать                         0.0006                        
переступить                    0.0006                        
прошелестеть                   0.0006                        
выхватить                      0.0006                        
беспрепятственно               0.0006                        
ха                             0.0006                        
вдалеке                        0.0006                        
вспыхивать                     0.0006                        
полумиля                       0.0006                        
спутник                        0.0006                        
истерически                    0.0006                        
неосвещённый                   0.0006                        
прибыть                        0.0006                        
штаны                          0.0006                        
династия                       0.0006                        
саймокнуть                     0.0006                        
потрясный                      0.0006                        
административный               0.0006                        
совет                          0.0006                        
демократия                     0.0006                        
постоянно                      0.0006                        
проживать                      0.0006                        
неуютный                       0.0006                        
любопытно                      0.0006                        
лояльность                     0.0006                        
глотать                        0.0006                        
общий                          0.0006                        
улизнуть                       0.0006                        
вне                            0.0006                        
событие                        0.0006                        
недоразумение                  0.0006                        
повторять                      0.0006                        
истерика                       0.0006                        
неплохой                       0.0006                        
убить                          0.0006                        
сигнал                         0.0006                        
исчерпать                      0.0006                        
красивый                       0.0006                        
скамейка                       0.0006                        
местечко                       0.0006                        
заговорщик                     0.0006                        
поймать                        0.0006                        
гнездо                         0.0006                        
девушка                        0.0006                        
взлётный                       0.0006                        
действие                       0.0006                        
мотор                          0.0006                        
лекция                         0.0006                        
студенческий                   0.0006                        
космолёт                       0.0006                        
устарелый                      0.0006                        
студент                        0.0006                        
прохождение                    0.0006                        
слой                           0.0006                        
немыслимый                     0.0006                        
сустав                         0.0006                        
пленный                        0.0006                        
притяжение                     0.0006                        
милый                          0.0006                        
перегрузка                     0.0006                        
насильственный                 0.0006                        
закивать                       0.0006                        
молодец                        0.0006                        
похвала                        0.0006                        
рация                          0.0006                        
соотечественник                0.0006                        
принадлежащий                  0.0006                        
приземлиться                   0.0006                        
размер                         0.0006                        
пребывать                      0.0006                        
удобство                       0.0006                        
отсутствие                     0.0006                        
переработка                    0.0006                        
нажимать                       0.0006                        
утешить                        0.0006                        
родиться                       0.0006                        
нефелоса                       0.0006                        
дуться                         0.0006                        
