Term                           TF-IDF                        
норман                         0.0372                        
сара                           0.0258                        
мультивак                      0.0228                        
маллера                        0.0221                        
линда                          0.0144                        
мэтью                          0.0136                        
хэндлить                       0.0129                        
голосовать                     0.0122                        
выборы                         0.0098                        
избиратель                     0.0061                        
индиана                        0.0053                        
президент                      0.005                         
штат                           0.0047                        
дедушка                        0.0047                        
блумингтон                     0.0046                        
полсон                         0.0046                        
газета                         0.0042                        
мистер                         0.0037                        
миссис                         0.0034                        
агент                          0.0032                        
октябрь                        0.0031                        
папочка                        0.0027                        
полицейский                    0.0027                        
машина                         0.0026                        
страна                         0.0025                        
ноябрь                         0.0025                        
секретный                      0.0023                        
ответственность                0.0023                        
американец                     0.0023                        
графство                       0.0022                        
сэр                            0.0021                        
папа                           0.002                         
джо                            0.0018                        
кандидат                       0.0018                        
служба                         0.0017                        
пальто                         0.0016                        
хортенвейлер                   0.0015                        
индианаполис                   0.0015                        
грозно                         0.0015                        
вряд                           0.0015                        
президентский                  0.0015                        
виллерс                        0.0015                        
выбрать                        0.0015                        
воронья                        0.0015                        
внучка                         0.0015                        
видеопрограмма                 0.0015                        
демократ                       0.0015                        
республиканец                  0.0015                        
агат                           0.0015                        
банк                           0.0015                        
фил                            0.0015                        
дежурить                       0.0015                        
фактор                         0.0015                        
умонастроение                  0.0015                        
маккомбер                      0.0015                        
четвёртый                      0.0014                        
кротко                         0.0014                        
видео                          0.0014                        
прилавок                       0.0014                        
халат                          0.0014                        
железа                         0.0014                        
подсчитать                     0.0013                        
бюллетень                      0.0013                        
незнакомец                     0.0013                        
улица                          0.0013                        
магазин                        0.0012                        
шумиха                         0.0012                        
голосование                    0.0012                        
соединить                      0.0012                        
еле                            0.0012                        
удостоверение                  0.0012                        
назначать                      0.0012                        
больница                       0.0012                        
тупо                           0.0011                        
выдумка                        0.0011                        
кофе                           0.0011                        
дом                            0.0011                        
заболеть                       0.0011                        
объявление                     0.0011                        
типичный                       0.0011                        
невысокий                      0.0011                        
рассвет                        0.001                         
политический                   0.001                         
определение                    0.001                         
понизить                       0.001                         
официальный                    0.001                         
из                             0.001                         
телефон                        0.001                         
спальня                        0.0009                        
проснуться                     0.0009                        
яростно                        0.0009                        
предыдущий                     0.0009                        
вычислительный                 0.0009                        
вставить                       0.0009                        
тихий                          0.0009                        
морщина                        0.0009                        
шанс                           0.0009                        
четверть                       0.0009                        
объявить                       0.0009                        
новость                        0.0009                        
отец                           0.0009                        
город                          0.0009                        
восторг                        0.0009                        
прочий                         0.0009                        
скажем                         0.0009                        
звонок                         0.0009                        
прошептать                     0.0009                        
волноваться                    0.0009                        
разобраться                    0.0009                        
воздействие                    0.0009                        
предсказать                    0.0009                        
избавить                       0.0009                        
напряжение                     0.0009                        
помощник                       0.0009                        
бесполезно                     0.0008                        
жена                           0.0008                        
высказаться                    0.0008                        
политика                       0.0008                        
давление                       0.0008                        
сердито                        0.0008                        
правило                        0.0008                        
колено                         0.0008                        
считаться                      0.0008                        
снять                          0.0008                        
муж                            0.0008                        
