Term                           TF-IDF                        
авардан                        0.0197                        
шект                           0.0104                        
пол                            0.0061                        
чужак                          0.0054                        
землянин                       0.0044                        
горячка                        0.0032                        
синапсайфер                    0.0029                        
проговорить                    0.0029                        
мутация                        0.0029                        
микроб                         0.0029                        
вирус                          0.0027                        
шектом                         0.0025                        
доктор                         0.0025                        
землянка                       0.0025                        
квадриллион                    0.0024                        
археолог                       0.002                         
машина                         0.0019                        
согражданин                    0.0018                        
биллион                        0.0018                        
апельсин                       0.0018                        
мутировать                     0.0018                        
пауза                          0.0017                        
восстание                      0.0017                        
пола                           0.0016                        
предрассудок                   0.0016                        
земля                          0.0015                        
империя                        0.0015                        
радиоактивность                0.0015                        
радиация                       0.0015                        
чик                            0.0014                        
следить                        0.0014                        
атаковать                      0.0014                        
испытанный                     0.0014                        
дура                           0.0014                        
симптом                        0.0014                        
зелот                          0.0014                        
сопротивляемость               0.0014                        
болезнь                        0.0014                        
облучение                      0.0014                        
шварц                          0.0013                        
встретиться                    0.0013                        
галактика                      0.0013                        
неожиданно                     0.0013                        
невольно                       0.0013                        
носить                         0.0013                        
наместник                      0.0013                        
откровенный                    0.0012                        
бел                            0.0012                        
дом                            0.0012                        
игра                           0.0012                        
записка                        0.0012                        
прохожий                       0.0012                        
мягко                          0.0012                        
радиационный                   0.0012                        
течение                        0.0011                        
поведение                      0.0011                        
шёпот                          0.0011                        
биолог                         0.0011                        
балкис                         0.001                         
безрассудно                    0.001                         
прищурить                      0.001                         
несовершенство                 0.001                         
физик                          0.001                         
сутулиться                     0.001                         
замкнуться                     0.001                         
подбодрить                     0.001                         
эксперимент                    0.001                         
посольство                     0.001                         
бонёр                          0.001                         
пренебрежительный              0.001                         
потребность                    0.001                         
обременять                     0.001                         
профессионально                0.001                         
передёрнуть                    0.001                         
информатор                     0.001                         
антипатия                      0.001                         
невежливый                     0.001                         
проклинать                     0.001                         
отправитель                    0.001                         
пригнуться                     0.001                         
капюшон                        0.001                         
безлюдный                      0.001                         
шум                            0.001                         
сымпровизировать               0.001                         
отвести                        0.001                         
смирять                        0.001                         
свинцовый                      0.001                         
дерзко                         0.001                         
животное                       0.001                         
порозоветь                     0.001                         
наставление                    0.001                         
непроницаемость                0.001                         
настороженно                   0.001                         
измождённый                    0.001                         
кожура                         0.001                         
сниматься                      0.001                         
надкусить                      0.001                         
экспортировать                 0.001                         
снисходительность              0.001                         
жизненный                      0.001                         
самовыделение                  0.001                         
националист                    0.001                         
храбрость                      0.001                         
неудавшийся                    0.001                         
трактование                    0.001                         
стойкость                      0.001                         
экспорт                        0.001                         
самовоспроизводящийся          0.001                         
вырабатываться                 0.001                         
иммунитет                      0.001                         
предрасположенность            0.001                         
ошибочный                      0.001                         
поражаться                     0.001                         
сжигать                        0.001                         
столь                          0.0009                        
отец                           0.0009                        
поверить                       0.0009                        
извиниться                     0.0009                        
промелькнуть                   0.0009                        
особый                         0.0009                        
бумага                         0.0009                        
автомобиль                     0.0009                        
длинный                        0.0009                        
девушка                        0.0009                        
стремиться                     0.0009                        
император                      0.0009                        
поцелуй                        0.0009                        
статья                         0.0009                        
обработка                      0.0009                        
продукт                        0.0009                        
бактерия                       0.0009                        
перенести                      0.0009                        
зона                           0.0009                        
гарнизон                       0.0009                        
выглядеть                      0.0008                        
прямолинейный                  0.0008                        
подозревать                    0.0008                        
сообщник                       0.0008                        
словесный                      0.0008                        
выкрутиться                    0.0008                        
утроить                        0.0008                        
приготовление                  0.0008                        
несколько                      0.0008                        
неузнаваемый                   0.0008                        
сторониться                    0.0008                        
знать                          0.0008                        
подставить                     0.0008                        
защитить                       0.0008                        
использовать                   0.0008                        
злорадный                      0.0008                        
месть                          0.0008                        
топить                         0.0008                        
о                              0.0008                        
бешено                         0.0008                        
предпринять                    0.0008                        
неведение                      0.0008                        
грубость                       0.0008                        
дружелюбие                     0.0008                        
занятость                      0.0008                        
пересечь                       0.0008                        
фотоэлектрический              0.0008                        
входной                        0.0008                        
предостерегать                 0.0008                        
перечитать                     0.0008                        
выбросить                      0.0008                        
призывать                      0.0008                        
конченый                       0.0008                        
всеобъемлющий                  0.0008                        
въезд                          0.0008                        
объехать                       0.0008                        
отделиться                     0.0008                        
сидение                        0.0008                        
каштановый                     0.0008                        
украдкой                       0.0008                        
сожалеть                       0.0008                        
дипломатичный                  0.0008                        
серьёзно                       0.0008                        
иррациональный                 0.0008                        
мешок                          0.0008                        
картошка                       0.0008                        
мраморный                      0.0008                        
статуя                         0.0008                        
безоговорочно                  0.0008                        
свергнуть                      0.0008                        
разозлиться                    0.0008                        
галактография                  0.0008                        
гражданин                      0.0008                        
соотношение                    0.0008                        
уличный                        0.0008                        
коварство                      0.0008                        
отстраниться                   0.0008                        
разглаживать                   0.0008                        
воротник                       0.0008                        
фонарь                         0.0008                        
сутулый                        0.0008                        
сочный                         0.0008                        
изумительно                    0.0008                        
торговать                      0.0008                        
аспект                         0.0008                        
неразрешимый                   0.0008                        
равенство                      0.0008                        
отрицать                       0.0008                        
ассимиляционист                0.0008                        
терпимость                     0.0008                        
покорение                      0.0008                        
обладать                       0.0008                        
ненормальный                   0.0008                        
дослушать                      0.0008                        
обозрение                      0.0008                        
выдающийся                     0.0008                        
побочный                       0.0008                        
предсмертный                   0.0008                        
полуночь                       0.0008                        
применимый                     0.0008                        
микромир                       0.0008                        
протеин                        0.0008                        
микроскопический               0.0008                        
метеорит                       0.0008                        
сдавленный                     0.0008                        
ненормальность                 0.0008                        
невинный                       0.0008                        
эпидемический                  0.0008                        
вызываться                     0.0008                        
заболевать                     0.0008                        
пробираться                    0.0007                        
приносить                      0.0007                        
гарантия                       0.0007                        
плести                         0.0007                        
смешаться                      0.0007                        
ужас                           0.0007                        
похудеть                       0.0007                        
возможно                       0.0007                        
вновь                          0.0007                        
страшный                       0.0007                        
верить                         0.0007                        
прохлада                       0.0007                        
помочь                         0.0007                        
вести                          0.0007                        
отплатить                      0.0007                        
участь                         0.0007                        
погубить                       0.0007                        
стучать                        0.0007                        
спровоцировать                 0.0007                        
подбирать                      0.0007                        
враждебно                      0.0007                        
ошибаться                      0.0007                        
поспешный                      0.0007                        
пословица                      0.0007                        
сухость                        0.0007                        
наземный                       0.0007                        
прочитать                      0.0007                        
окно                           0.0007                        
восемь                         0.0007                        
поток                          0.0007                        
стоянка                        0.0007                        
салон                          0.0007                        
тсс                            0.0007                        
поехать                        0.0007                        
соскользнуть                   0.0007                        
замереть                       0.0007                        
внушать                        0.0007                        
доверие                        0.0007                        
пропитать                      0.0007                        
создаться                      0.0007                        
полый                          0.0007                        
учитель                        0.0007                        
включать                       0.0007                        
прошептать                     0.0007                        
первоначальный                 0.0007                        
жалеть                         0.0007                        
поправлять                     0.0007                        
правдивый                      0.0007                        
испытать                       0.0007                        
задний                         0.0007                        
поляризовать                   0.0007                        
фрукт                          0.0007                        
охватывать                     0.0007                        
антиземной                     0.0007                        
большинство                    0.0007                        
зрелость                       0.0007                        
единство                       0.0007                        
компромисс                     0.0007                        
нелёгкий                       0.0007                        
кризис                         0.0007                        
спускать                       0.0007                        
статус                         0.0007                        
утром                          0.0007                        
неудача                        0.0007                        
улучшение                      0.0007                        
крыса                          0.0007                        
этика                          0.0007                        
последствие                    0.0007                        
подвергнуть                    0.0007                        
симпатизировать                0.0007                        
вторичный                      0.0007                        
разновидность                  0.0007                        
форма                          0.0007                        
носитель                       0.0007                        
биология                       0.0007                        
отодвинуть                     0.0007                        
распространять                 0.0007                        
продолжительный                0.0007                        
приобретать                    0.0007                        
заражение                      0.0007                        
адаптироваться                 0.0007                        
двенадцать                     0.0007                        
совпадение                     0.0006                        
следующий                      0.0006                        
прочить                        0.0006                        
искренность                    0.0006                        
письмо                         0.0006                        
поднимать                      0.0006                        
разыграться                    0.0006                        
секретарь                      0.0006                        
математический                 0.0006                        
день                           0.0006                        
нулевой                        0.0006                        
небывалый                      0.0006                        
битва                          0.0006                        
ковёр                          0.0006                        
разрешить                      0.0006                        
шестьдесят                     0.0006                        
думать                         0.0006                        
стеклянный                     0.0006                        
стенка                         0.0006                        
ощущать                        0.0006                        
кредит                         0.0006                        
ибо                            0.0006                        
старик                         0.0006                        
жёстко                         0.0006                        
спасти                         0.0006                        
бесчисленный                   0.0006                        
происходить                    0.0006                        
воспринять                     0.0006                        
посещение                      0.0006                        
заинтересованный               0.0006                        
приписывать                    0.0006                        
быстрый                        0.0006                        
нанять                         0.0006                        
час                            0.0006                        
улица                          0.0006                        
сунуть                         0.0006                        
смерть                         0.0006                        
скользить                      0.0006                        
ведущий                        0.0006                        
подозрение                     0.0006                        
подозрительность               0.0006                        
подземный                      0.0006                        
извинить                       0.0006                        
смеяться                       0.0006                        
свернуть                       0.0006                        
подчиниться                    0.0006                        
красивый                       0.0006                        
неблагодарный                  0.0006                        
вежливый                       0.0006                        
обнять                         0.0006                        
убедительно                    0.0006                        
беззащитный                    0.0006                        
руководствоваться              0.0006                        
гордиться                      0.0006                        
почувствовать                  0.0006                        
одежда                         0.0006                        
измерить                       0.0006                        
убеждённый                     0.0006                        
