Term                           TF-IDF                        
шеффилд                        0.0481                        
марк                           0.0319                        
бериллий                       0.0206                        
саймон                         0.0177                        
новь                           0.0126                        
капитан                        0.0091                        
вернадский                     0.0051                        
фоукс                          0.005                         
суд                            0.0044                        
малышок                        0.0044                        
зритель                        0.0039                        
ракета                         0.0038                        
марка                          0.0037                        
космонавт                      0.0037                        
трап                           0.0036                        
судебный                       0.0036                        
ион                            0.0036                        
простак                        0.0035                        
свидетель                      0.0035                        
применяться                    0.0031                        
пыль                           0.0028                        
ядовитый                       0.0028                        
люк                            0.0027                        
адвокат                        0.0027                        
психолог                       0.0026                        
ловушка                        0.0024                        
погибнуть                      0.0024                        
гомон                          0.0024                        
бейсбольный                    0.0024                        
экспедиция                     0.0024                        
битый                          0.0024                        
команда                        0.0024                        
угнать                         0.0024                        
скоба                          0.0024                        
молоток                        0.0024                        
люминесцентный                 0.0024                        
вылечиться                     0.0024                        
доктор                         0.0023                        
аннунчио                       0.0022                        
сотрясение                     0.002                         
субэфирный                     0.002                         
застрелить                     0.002                         
отравление                     0.002                         
реактор                        0.002                         
прогноз                        0.0018                        
бунт                           0.0017                        
убраться                       0.0017                        
поглядеть                      0.0016                        
расстройство                   0.0015                        
старинный                      0.0015                        
действие                       0.0014                        
вскричать                      0.0014                        
сталкиваться                   0.0014                        
лампа                          0.0014                        
дотронуться                    0.0013                        
череп                          0.0013                        
присутствовать                 0.0013                        
раздаться                      0.0013                        
оправдаться                    0.0013                        
пистолет                       0.0013                        
атомный                        0.0013                        
стащить                        0.0012                        
прочесть                       0.0012                        
замахнуться                    0.0012                        
превозмогать                   0.0012                        
слипнуться                     0.0012                        
засов                          0.0012                        
постоялый                      0.0012                        
дочерна                        0.0012                        
ультрафиолет                   0.0012                        
бит                            0.0012                        
подбрасывать                   0.0012                        
шальной                        0.0012                        
стадион                        0.0012                        
поручень                       0.0012                        
заплясать                      0.0012                        
трал                           0.0012                        
взмыть                         0.0012                        
завертеться                    0.0012                        
обмотать                       0.0012                        
бинт                           0.0012                        
полежать                       0.0012                        
дышать                         0.0012                        
разгладиться                   0.0012                        
треснуть                       0.0012                        
случ                           0.0012                        
карцер                         0.0012                        
подстрекать                    0.0012                        
лагер                          0.0012                        
уговорить                      0.0012                        
законодательство               0.0012                        
уместный                       0.0012                        
взбунтоваться                  0.0012                        
раскроить                      0.0012                        
подстрекательство              0.0012                        
караться                       0.0012                        
сверхофициально                0.0012                        
заклеить                       0.0012                        
пластырь                       0.0012                        
выбрить                        0.0012                        
присяжный                      0.0012                        
грохнуть                       0.0012                        
миколог                        0.0012                        
явствовать                     0.0012                        
проболеть                      0.0012                        
перетрусить                    0.0012                        
выпроводить                    0.0012                        
инсценировка                   0.0012                        
пожалеть                       0.0012                        
патологический                 0.0012                        
озадачивать                    0.0012                        
бесспорный                     0.0012                        
щеффилд                        0.0012                        
выкрик                         0.0012                        
валять                         0.0012                        
умереть                        0.0012                        
нечестный                      0.0012                        
бериллиевый                    0.0012                        
незаживающий                   0.0012                        
гранулом                       0.0012                        
диковинка                      0.0012                        
двухвалентный                  0.0012                        
активировать                   0.0012                        
марганец                       0.0012                        
цинк                           0.0012                        
кобальт                        0.0012                        
никель                         0.0012                        
ингибитор                      0.0012                        
катализировать                 0.0012                        
выводиться                     0.0012                        
вдыхание                       0.0012                        
первичный                      0.0012                        
симптом                        0.0012                        
замедлитель                    0.0012                        
парафин                        0.0012                        
графит                         0.0012                        
электронщик                    0.0012                        
заменитель                     0.0012                        
отравиться                     0.0012                        
печатать                       0.0012                        
затерянный                     0.0012                        
остерегаться                   0.0012                        
смутно                         0.0011                        
ударить                        0.0011                        
ладный                         0.0011                        
уставиться                     0.001                         
обрушиться                     0.001                         
произнести                     0.001                         
посадка                        0.001                         
задыхаться                     0.001                         
бас                            0.001                         
запечься                       0.001                         
вперёд                         0.001                         
пошатываться                   0.001                         
экипаж                         0.001                         
загореть                       0.001                         
озон                           0.001                         
мяч                            0.001                         
многие                         0.001                         
покачнуться                    0.001                         
схватиться                     0.001                         
проплыть                       0.001                         
вмешаться                      0.001                         
припоминать                    0.001                         
официальность                  0.001                         
впутывать                      0.001                         
собрать                        0.001                         
окрик                          0.001                         
пересмотреть                   0.001                         
вызываться                     0.001                         
смыться                        0.001                         
перекрёстный                   0.001                         
тщеславие                      0.001                         
допросить                      0.001                         
перекрыть                      0.001                         
субэфир                        0.001                         
чутьё                          0.001                         
тенденция                      0.001                         
лучевой                        0.001                         
поселенец                      0.001                         
хохот                          0.001                         
протолкаться                   0.001                         
яд                             0.001                         
ферментативный                 0.001                         
заряд                          0.001                         
тормозить                      0.001                         
метаболический                 0.001                         
однократный                    0.001                         
летальный                      0.001                         
нейтрон                        0.001                         
цитировать                     0.001                         
